frequency [cm^-1], energy [eV]
(153.5026310814821+0j), (0.019031900512874345+0j)
(157.53402071458714+0j), (0.01953172912092707+0j)
(165.55198178719235+0j), (0.020525829589269663+0j)
(165.5521633803211+0j), (0.020525852103947986+0j)
(169.15314792303474+0j), (0.020972317282313205+0j)
(169.15337478835204+0j), (0.020972345410027488+0j)
(175.37970442393595+0j), (0.021744311892620823+0j)
(175.37970442393615+0j), (0.021744311892620848+0j)
(175.37989242563108+0j), (0.0217443352018601+0j)
(183.56000435414796+0j), (0.022758539813930046+0j)
(185.3117560692173+0j), (0.022975729344360696+0j)
(185.31175606921735+0j), (0.022975729344360703+0j)
(185.31183933210252+0j), (0.022975739667642693+0j)
(196.66946961184658+0j), (0.024383906342201892+0j)
(196.66946961184692+0j), (0.024383906342201934+0j)
(196.6695296300769+0j), (0.024383913783514007+0j)
(198.5260004158451+0j), (0.024614086823877352+0j)
(198.5263721625141+0j), (0.024614132914589745+0j)
(198.52637216251418+0j), (0.024614132914589755+0j)
(200.3737314268931+0j), (0.024843176270286593+0j)
(200.37377816690727+0j), (0.024843182065309735+0j)
(200.37377816690793+0j), (0.02484318206530982+0j)
(204.2543566460175+0j), (0.02532431247347599+0j)
(204.2543566460178+0j), (0.025324312473476027+0j)
(204.25437722135257+0j), (0.025324315024492394+0j)
(215.98594464241046+0j), (0.026778843995394094+0j)
(218.02840743720398+0j), (0.02703207710571859+0j)
(220.0790439689683+0j), (0.027286323630261143+0j)
(220.07913200796972+0j), (0.027286334545706073+0j)
(220.07913200796992+0j), (0.027286334545706097+0j)
(225.66873262493306+0j), (0.027979356691966734+0j)
(225.6687326249336+0j), (0.027979356691966804+0j)
(225.66885577976342+0j), (0.027979371961219534+0j)
(247.01643713861085+0j), (0.030626134702350736+0j)
(247.01644495782472+0j), (0.03062613567180969+0j)
(256.88790510725755+0j), (0.03185004073556774+0j)
(256.88790510725846+0j), (0.03185004073556785+0j)
(256.8881494694936+0j), (0.03185007103262345+0j)
(258.5189222020307+0j), (0.03205226108100301+0j)
(258.51892220203143+0j), (0.0320522610810031+0j)
(258.5189612572228+0j), (0.032052265923229656+0j)
(261.1217387004322+0j), (0.032374969195527445+0j)
(261.12173870043245+0j), (0.03237496919552747+0j)
(261.1218652524183+0j), (0.032374984885973866+0j)
(269.69325068939696+0j), (0.033437701229952925+0j)
(269.69349622980343+0j), (0.03343773167308315+0j)
(279.59504266138737+0j), (0.03466536696038634+0j)
(279.5952150323778+0j), (0.03466538833166524+0j)
(279.59521503237823+0j), (0.0346653883316653+0j)
(283.3151154602491+0j), (0.03512659720060942+0j)
(283.31521570721594+0j), (0.03512660962964914+0j)
(290.6778505185101+0j), (0.0360394599974503+0j)
(290.6778505185101+0j), (0.0360394599974503+0j)
(290.6778666822928+0j), (0.03603946200150392+0j)
(301.1469754217841+0j), (0.03733746604602546+0j)
(301.14730444911766+0j), (0.037337506840215334+0j)
(301.1473044491184+0j), (0.03733750684021543+0j)
(312.49974813962893+0j), (0.03874503045967129+0j)
(312.49974813962945+0j), (0.03874503045967135+0j)
(312.4999467275465+0j), (0.03874505508143486+0j)
(328.0998572830355+0j), (0.0406791974711129+0j)
