frequency [cm^-1], energy [eV]
17.845688564768942j, 0.002212583373689119j
2.9436067332980422j, 0.0003649607182786178j
2.9436067332966913j, 0.00036496071827845034j
2.9434085761902944j, 0.00036493614992865527j
0.001805336545994258j, 2.2383320268550004e-07j
0.0018053360938934157j, 2.2383314663213996e-07j
0.001805117212235474j, 2.2380600876545525e-07j
(39.62264198613192+0j), (0.004912581465375751+0j)
(39.62264198613272+0j), (0.004912581465375851+0j)
(39.62291980748927+0j), (0.004912615910833762+0j)
(53.10526235658634+0j), (0.006584213330806992+0j)
(53.105584942610086+0j), (0.0065842533263762385+0j)
(85.18412645918933+0j), (0.010561485549956642+0j)
(85.18426003773472+0j), (0.010561502111585382+0j)
(85.1842600377361+0j), (0.010561502111585552+0j)
(91.93285987261748+0j), (0.011398221845662847+0j)
(91.93297900819496+0j), (0.011398236616591803+0j)
(103.060502234816+0j), (0.012777873652854292+0j)
(103.06074473651411+0j), (0.0127779037192327+0j)
(103.06074473651456+0j), (0.012777903719232755+0j)
(105.5662979269762+0j), (0.01308855272058615+0j)
(105.56629792697673+0j), (0.013088552720586214+0j)
(105.5664186597911+0j), (0.013088567689547304+0j)
(108.19511225040944+0j), (0.013414484154581198+0j)
(108.19511225040979+0j), (0.013414484154581241+0j)
(108.19511515728186+0j), (0.013414484514987442+0j)
(111.1166010782767+0j), (0.01377670260210689+0j)
(111.11694006611728+0j), (0.013776744631242233+0j)
(111.79454381296257+0j), (0.013860756787947643+0j)
(111.79454381296263+0j), (0.013860756787947652+0j)
(111.79478841682095+0j), (0.013860787114960705+0j)
(116.06150846504181+0j), (0.014389792975654528+0j)
(123.01430506078617+0j), (0.015251829881238365+0j)
(123.01458888346966+0j), (0.01525186507076598+0j)
(123.01458888347024+0j), (0.015251865070766053+0j)
(124.98318730980394+0j), (0.015495940166650866+0j)
(124.98318730980398+0j), (0.015495940166650872+0j)
(124.98332703621364+0j), (0.015495957490517628+0j)
(139.1258779331647+0j), (0.017249410312613945+0j)
(139.12610100454123+0j), (0.017249437969939524+0j)
(139.1261010045417+0j), (0.017249437969939583+0j)
(141.6751977127665+0j), (0.017565485679394657+0j)
(141.67519771276667+0j), (0.01756548567939468+0j)
(141.6752242958688+0j), (0.01756548897527926+0j)
(145.41952671391022+0j), (0.01802972330538955+0j)
(145.41952671391118+0j), (0.018029723305389673+0j)
(145.4196307781388+0j), (0.018029736207709413+0j)
(146.6841589031026+0j), (0.018186517712368233+0j)
(148.32128300289816+0j), (0.0183894952299197+0j)
(148.3213238931541+0j), (0.018389500299665264+0j)
(148.32132389315467+0j), (0.018389500299665334+0j)
(150.4331839371294+0j), (0.018651337572231082+0j)
(150.43319940988127+0j), (0.018651339490607804+0j)
