frequency [cm^-1], energy [eV]
0.0012242621406185507j, 1.5178915890739842e-07j
0.0009731806324368259j, 1.206590196344078e-07j
0.00026331916271049707j, 3.2647415047754934e-08j
(1.960441398541297+0j), (0.00024306375334083274+0j)
(2.1324711624110932+0j), (0.0002643927255425229+0j)
(3.083278590837123+0j), (0.00038227782143446606+0j)
(8.78107008653184+0j), (0.00108871392696025+0j)
(24.452876808665245+0j), (0.0030317703051555792+0j)
(37.16180128699387+0j), (0.004607476106372707+0j)
(44.278061590539345+0j), (0.005489779928571706+0j)
(45.370729908518776+0j), (0.005625253532996867+0j)
(49.78305036877062+0j), (0.006172311543916938+0j)
(61.0576534312619+0j), (0.007570184155582994+0j)
(71.32692955357462+0j), (0.008843412113450026+0j)
(75.7332794025187+0j), (0.009389729862919138+0j)
(76.3842786252681+0j), (0.009470443479057405+0j)
(77.04193689911274+0j), (0.00955198271230114+0j)
(81.93271367271976+0j), (0.010158361745221797+0j)
(84.37415859513733+0j), (0.010461062334415273+0j)
(84.6982663884125+0j), (0.010501246579034416+0j)
(87.7626350264303+0j), (0.010881179865145774+0j)
(89.3194659273664+0j), (0.01107420229488026+0j)
(89.7795327041488+0j), (0.011131243304948382+0j)
(94.85293679366416+0j), (0.011760265239054591+0j)
(100.54536347724122+0j), (0.012466036192655785+0j)
(103.22544427336427+0j), (0.012798323859120626+0j)
(104.52221023934027+0j), (0.012959102346623137+0j)
(104.66692477856601+0j), (0.012977044662620632+0j)
(105.0033985738467+0j), (0.01301876209607343+0j)
(105.46300682375171+0j), (0.013075746256054671+0j)
(105.58268146317208+0j), (0.01309058402017191+0j)
(105.95143775919867+0j), (0.013136303973569638+0j)
(109.18730498807359+0j), (0.013537500374823031+0j)
(112.16949401050897+0j), (0.013907244687254058+0j)
(112.65197233764258+0j), (0.01396706437540488+0j)
(114.03670856393713+0j), (0.01413874978502774+0j)
(114.24478938145553+0j), (0.014164548518181348+0j)
(114.88779345975162+0j), (0.014244270862751504+0j)
(116.17433790681524+0j), (0.014403782043435492+0j)
(116.22808116577804+0j), (0.014410445358263461+0j)
(116.87728673187115+0j), (0.014490936589320796+0j)
(118.21985842245797+0j), (0.01465739426282534+0j)
(119.09419796682039+0j), (0.014765798549485055+0j)
(120.22359064851435+0j), (0.014905825394670256+0j)
