frequency [cm^-1], energy [eV]
(160.92726125837248+0j), (0.019952437326321244+0j)
(161.5206472384245+0j), (0.020026007810804273+0j)
(162.4662403930564+0j), (0.02014324641914485+0j)
(163.36485214637415+0j), (0.020254660076150927+0j)
(163.3749693300665+0j), (0.020255914447050938+0j)
(165.45234328436575+0j), (0.02051347598946693+0j)
(165.8336331247915+0j), (0.02056074990430752+0j)
(166.46566894965414+0j), (0.02063911235877889+0j)
(167.6359377225175+0j), (0.02078420719332043+0j)
(169.92911892702844+0j), (0.021068525424446247+0j)
(171.71240640961904+0j), (0.021289624891702302+0j)
(174.49913921869557+0j), (0.02163513572239389+0j)
(175.09724354226563+0j), (0.021709291206911046+0j)
(175.42180303573997+0j), (0.021749531455216846+0j)
(175.86975606557175+0j), (0.02180507055209183+0j)
(176.88828713614947+0j), (0.02193135230940071+0j)
(177.40019967699095+0j), (0.021994821374914098+0j)
(178.40453547811424+0j), (0.022119343143132845+0j)
(180.64439157443368+0j), (0.02239704990351846+0j)
(181.3410937821696+0j), (0.022483429967568903+0j)
(181.50756990038343+0j), (0.022504070375471315+0j)
(181.98742195946895+0j), (0.022563564447886045+0j)
(182.37383419731594+0j), (0.022611473459059655+0j)
(184.29562776439147+0j), (0.022849745492035094+0j)
(184.60842600895884+0j), (0.022888527531334784+0j)
(185.2798062190936+0j), (0.02297176806783617+0j)
(185.48582764259095+0j), (0.022997311468674956+0j)
(187.53683086198285+0j), (0.02325160345668871+0j)
(188.05108742435047+0j), (0.023315363143829693+0j)
(189.0522342399836+0j), (0.023439489528241937+0j)
(189.5514757644103+0j), (0.02350138758795494+0j)
(190.33562043140833+0j), (0.023598609135135364+0j)
(190.87406709874648+0j), (0.023665368013026055+0j)
(191.0284606995298+0j), (0.023684510379702317+0j)
(191.5789051415008+0j), (0.023752756792051404+0j)
(193.67203276764172+0j), (0.024012271540826732+0j)
(193.71433633242017+0j), (0.024017516514352796+0j)
(194.02506775052248+0j), (0.024056042299832058+0j)
(194.5953382794653+0j), (0.024126746833661856+0j)
(195.26565821662732+0j), (0.024209855913069702+0j)
(196.5865000075025+0j), (0.024373619422398993+0j)
(197.63910972656672+0j), (0.02450412639358883+0j)
(199.89124151613944+0j), (0.024783355145949936+0j)
(200.1714093867174+0j), (0.024818091534519804+0j)
(201.35555660115784+0j), (0.024964907076501393+0j)
(202.97599207478532+0j), (0.025165815468131764+0j)
(204.5654967899982+0j), (0.02536288893450524+0j)
(205.46223645743663+0j), (0.025474070482446112+0j)
(206.933008036946+0j), (0.02565642291628503+0j)
(207.44274506024365+0j), (0.025719622252001823+0j)
(207.49613099391735+0j), (0.025726241264140613+0j)
(209.03209073542+0j), (0.025916675999924015+0j)
(209.82953366258857+0j), (0.026015546321218448+0j)
(210.03169908598173+0j), (0.026040611638979156+0j)
(212.4272714523692+0j), (0.026337624756130718+0j)
(212.51037351120544+0j), (0.02634792809819752+0j)
(213.29171023588356+0j), (0.02644480150490307+0j)
(213.67459061889096+0j), (0.026492272621889072+0j)
(215.48596105743906+0j), (0.026716853931900035+0j)
(216.17709437817066+0j), (0.02680254354196486+0j)
(217.2520612635094+0j), (0.026935822448471296+0j)
(219.13429086187168+0j), (0.027169189174540007+0j)
(219.14197660208933+0j), (0.027170142084872288+0j)
(220.23707962975004+0j), (0.02730591755482318+0j)
(224.33226855114785+0j), (0.027813656266429343+0j)
(225.42257509013706+0j), (0.027948837047581977+0j)
(227.25937654452528+0j), (0.028176571401680853+0j)
(228.57271855165968+0j), (0.028339405056342398+0j)
(229.56225608560845+0j), (0.028462092073282656+0j)
(230.8082670741583+0j), (0.028616577745645112+0j)
(231.82646162209258+0j), (0.028742817779464143+0j)
(232.1083890432097+0j), (0.02877777232449539+0j)
(232.40195812230823+0j), (0.02881417025114782+0j)
(232.95508353465783+0j), (0.028882749061457543+0j)
(235.56258502298985+0j), (0.029206038040698327+0j)
(236.64849294654576+0j), (0.029340673463046803+0j)
(237.42191140854547+0j), (0.029436565130309403+0j)
(237.94221657917976+0j), (0.029501074749291693+0j)
(238.21625539654644+0j), (0.029535051232118362+0j)
(239.7321691912413+0j), (0.02972300058727575+0j)
(239.97421331229035+0j), (0.029753010233358534+0j)
(243.06134660856793+0j), (0.030135765977353235+0j)
(243.5387990366323+0j), (0.030194962533441762+0j)
(243.71905366034258+0j), (0.03021731125828947+0j)
(245.1052418341149+0j), (0.030389176686455025+0j)
(246.84192559028727+0j), (0.030604498028095433+0j)
(248.55612496241577+0j), (0.03081703166142621+0j)
(251.09031287848504+0j), (0.03113123091625173+0j)
(251.64235690884078+0j), (0.031199675652282866+0j)
(252.8096483279217+0j), (0.03134440134200533+0j)
(254.75835087367705+0j), (0.03158600966310514+0j)
(255.40076887955982+0j), (0.031665659343957514+0j)
(256.12925010385857+0j), (0.031755979503870546+0j)
(257.92037741118105+0j), (0.031978050985503714+0j)
(259.71131260674395+0j), (0.03220009864831456+0j)
(261.74891813269505+0j), (0.03245272953406009+0j)
(262.8581442523272+0j), (0.03259025604423381+0j)
(262.8861617358186+0j), (0.03259372976943756+0j)
(263.9544812967631+0j), (0.03272618451276415+0j)
(264.50820696261314+0j), (0.03279483774502236+0j)
(265.92048691685045+0j), (0.032969938141647503+0j)
(266.7798539532612+0j), (0.03307648607392581+0j)
(267.7362588502837+0j), (0.033195065167469145+0j)
(268.3030992315441+0j), (0.03326534441719159+0j)
(269.75659100803904+0j), (0.033445554428522595+0j)
(269.86877331117114+0j), (0.03345946326133851+0j)
(269.9185119797658+0j), (0.033465630070243786+0j)
(271.1571031901431+0j), (0.03361919580736466+0j)
(271.70064534845284+0j), (0.0336865864456138+0j)
(272.24872007424045+0j), (0.033754539050603834+0j)
(273.3045952197971+0j), (0.033885450883076484+0j)
(275.475620328671+0j), (0.03415462368872767+0j)
(276.52270349741445+0j), (0.03428444545501161+0j)
(277.1908913753461+0j), (0.03436729019276697+0j)
(278.14986585405063+0j), (0.03448618787383279+0j)
(279.53439298055775+0j), (0.03465784735838633+0j)
(280.4446075966862+0j), (0.03477069958702549+0j)
(280.7765497257872+0j), (0.03481185516548414+0j)
(281.5222926105503+0j), (0.034904315498515574+0j)
(282.424790512058+0j), (0.03501621097648595+0j)
(283.24942904254783+0j), (0.035118453122830885+0j)
(283.9842524997087+0j), (0.03520955961939502+0j)
(284.2641115579023+0j), (0.03524425772010927+0j)
(284.9887888820238+0j), (0.03533410625651186+0j)
(286.38437786948975+0j), (0.03550713723701809+0j)
(287.41056452850637+0j), (0.03563436816631516+0j)
(288.62674618604734+0j), (0.035785155473013606+0j)
(288.92912191891025+0j), (0.035822645285564766+0j)
(290.2421643768605+0j), (0.035985441800861134+0j)
(291.0176795152775+0j), (0.03608159342286653+0j)
(291.97039270425023+0j), (0.036199714802950284+0j)
(295.76594033164963+0j), (0.03667030272921324+0j)
(296.39632050351145+0j), (0.03674845990887614+0j)
(296.5360871972838+0j), (0.03676578877022625+0j)
(298.21006444660753+0j), (0.0369733354959435+0j)
(299.8705907485932+0j), (0.03717921451675082+0j)
(300.2353022399414+0j), (0.03722443297828687+0j)
(301.63781806154657+0j), (0.037398322776764345+0j)
(302.35268856576363+0j), (0.03748695542247207+0j)
(304.97953758464166+0j), (0.037812643189759194+0j)
(306.3411136387206+0j), (0.037981457104018346+0j)
(306.44180097712876+0j), (0.03799394074285886+0j)
(309.60352437591587+0j), (0.038385944480846916+0j)
(310.4234652457007+0j), (0.0384876041914997+0j)
(311.70755727025727+0j), (0.03864681131054748+0j)
(313.6618589215253+0j), (0.03888911383225042+0j)
(313.699580298221+0j), (0.03889379068686472+0j)
(314.8437776075056+0j), (0.0390356530719195+0j)
