frequency [cm^-1], energy [eV]
1.1204336433867075j, 0.00013891606601123323j
0.4024165225995295j, 4.989328957355582e-05j
0.001130642996939833j, 1.4018186451745366e-07j
0.00021233527931851647j, 2.6326219185248204e-08j
(0.0007662719896117517+0j), (9.50056176193611e-08+0j)
(0.28752100546851417+0j), (3.5648061097621735e-05+0j)
(13.912280982455766+0j), (0.0017249029915630775+0j)
(19.077238138630488+0j), (0.00236527605915823+0j)
(22.75526961360875+0j), (0.0028212938395821337+0j)
(23.851910334543152+0j), (0.002957259959199403+0j)
(25.955634180884367+0j), (0.003218088471831701+0j)
(31.034702997635307+0j), (0.003847812742597686+0j)
(35.572737323319835+0j), (0.004410457286225028+0j)
(36.67712183312468+0j), (0.004547383513290207+0j)
(38.50039283566185+0j), (0.00477344030517592+0j)
(40.43145031242782+0j), (0.00501286091655908+0j)
(42.795385724063024+0j), (0.005305951551267616+0j)
(43.846033591360744+0j), (0.005436215283840771+0j)
(45.51453461830634+0j), (0.005643083044521702+0j)
(46.05246530632262+0j), (0.005709777949130297+0j)
(46.16734966343773+0j), (0.0057240217939406165+0j)
(46.853038400898555+0j), (0.005809036361718453+0j)
(48.18382146812505+0j), (0.005974032432217259+0j)
(48.35005853983537+0j), (0.005994643202130792+0j)
(49.635031247653764+0j), (0.006153959511985944+0j)
(50.91131532882687+0j), (0.006312198569440003+0j)
(52.08515715148976+0j), (0.006457736405693196+0j)
(53.51741249372802+0j), (0.006635313434767323+0j)
(53.966831372343975+0j), (0.006691034273727316+0j)
(56.40036245308992+0j), (0.006992753671612813+0j)
(56.812610079419656+0j), (0.00704386586269188+0j)
(57.60877497572393+0j), (0.0071425777283553584+0j)
(58.742838750012446+0j), (0.00728318371520686+0j)
(59.76947187697308+0j), (0.007410469999473639+0j)
(60.2076334571269+0j), (0.007464795111318952+0j)
(61.667373071888896+0j), (0.007645779755862958+0j)
(62.350583650356576+0j), (0.007730487071087008+0j)
(63.07993106591903+0j), (0.007820914625028662+0j)
(63.88743795407094+0j), (0.007921032718448249+0j)
(64.19643973910328+0j), (0.00795934405675954+0j)
(64.40509888607949+0j), (0.007985214493626804+0j)
(64.9747735438562+0j), (0.008055845148848323+0j)
(65.27548377751903+0j), (0.008093128465817894+0j)
(65.34734130612549+0j), (0.008102037663829055+0j)
(66.20861595316633+0j), (0.008208822109680288+0j)
(66.68483747720913+0j), (0.008267866053121629+0j)
(66.99384067337482+0j), (0.008306177566391156+0j)
(67.39013143564725+0j), (0.008355311358487114+0j)
(67.55393308807993+0j), (0.008375620174896185+0j)
(67.94094298330496+0j), (0.008423603286140129+0j)
(68.37923511224061+0j), (0.008477944583971378+0j)
(68.94871330745966+0j), (0.008548550880940366+0j)
(69.95903097996894+0j), (0.008673814306681835+0j)
(70.08613480777599+0j), (0.008689573172758503+0j)
(70.51488331316882+0j), (0.008742731212084543+0j)
(71.18204160113712+0j), (0.008825448296954653+0j)
(71.64779537993641+0j), (0.008883194405403427+0j)
(72.04145585290424+0j), (0.008932002083191034+0j)
(73.29277953959061+0j), (0.009087146446167956+0j)
(73.54094891654327+0j), (0.0091179155271878+0j)
(74.3591304889255+0j), (0.00921935711276414+0j)
(74.81992944347918+0j), (0.009276488901305582+0j)
