frequency [cm^-1], energy [eV]
0.0002448189966477953j, 3.035368680677061e-08j
0.00024481443340332055j, 3.035312103656688e-08j
0.0002448118307677999j, 3.035279835089073e-08j
(0.5991114040371784+0j), (7.428034658058419e-05+0j)
(0.5991114040425082+0j), (7.4280346581245e-05+0j)
(0.5991114040535681+0j), (7.428034658261626e-05+0j)
(20.43723889557365+0j), (0.0025338946614663345+0j)
(25.760197941520108+0j), (0.003193857466551951+0j)
(25.76019794152052+0j), (0.0031938574665520024+0j)
(25.760197941520577+0j), (0.0031938574665520093+0j)
(28.988052589267394+0j), (0.003594060434365161+0j)
(28.988052589268335+0j), (0.0035940604343652777+0j)
(44.52453254456984+0j), (0.005520338431988703+0j)
(44.52453254457046+0j), (0.00552033843198878+0j)
(44.52453254457068+0j), (0.005520338431988808+0j)
(51.43670870343653+0j), (0.006377339045308371+0j)
(51.43670870343674+0j), (0.006377339045308397+0j)
(56.20003068492179+0j), (0.006967915698123484+0j)
(56.200030684921856+0j), (0.006967915698123493+0j)
(56.20003068492191+0j), (0.0069679156981235+0j)
(56.699579471856964+0j), (0.007029851853531991+0j)
(56.699579471857135+0j), (0.007029851853532012+0j)
(56.699579471857305+0j), (0.007029851853532033+0j)
(58.166858606931115+0j), (0.007211771279450654+0j)
(58.16685860693138+0j), (0.007211771279450686+0j)
(58.16685860693142+0j), (0.007211771279450691+0j)
(65.82384235894202+0j), (0.008161116264421056+0j)
(65.82384235894207+0j), (0.008161116264421063+0j)
(65.8238423589425+0j), (0.008161116264421116+0j)
(66.10599745132279+0j), (0.008196099037091197+0j)
(66.10599745132293+0j), (0.008196099037091214+0j)
(66.10599745132346+0j), (0.008196099037091278+0j)
(68.03503249548974+0j), (0.008435268898791778+0j)
(68.03503249548997+0j), (0.008435268898791806+0j)
(73.15161628261599+0j), (0.009069644433050096+0j)
(73.15161628261647+0j), (0.009069644433050155+0j)
(73.1516162826168+0j), (0.009069644433050196+0j)
(73.72699119025836+0j), (0.009140981829176166+0j)
(73.72699119025836+0j), (0.009140981829176166+0j)
(73.72699119025864+0j), (0.009140981829176201+0j)
(76.41072456090843+0j), (0.00947372235716217+0j)
(76.41072456090848+0j), (0.009473722357162175+0j)
(78.06428319821434+0j), (0.00967873749765644+0j)
(78.06428319821435+0j), (0.009678737497656442+0j)
(78.06428319821534+0j), (0.009678737497656563+0j)
(78.81838007359296+0j), (0.009772233593509396+0j)
(78.81838007359323+0j), (0.00977223359350943+0j)
(78.81838007359327+0j), (0.009772233593509436+0j)
(80.47456760834962+0j), (0.009977574675744135+0j)
(80.47456760834964+0j), (0.009977574675744139+0j)
(80.47456760834966+0j), (0.00997757467574414+0j)
(81.80759897540105+0j), (0.010142849499892243+0j)
(81.80759897540109+0j), (0.010142849499892248+0j)
(81.80759897540115+0j), (0.010142849499892255+0j)
(81.903463682273+0j), (0.010154735208632403+0j)
(83.77333492316399+0j), (0.010386569693668897+0j)
(86.25357176198543+0j), (0.010694079867483174+0j)
(86.25357176198582+0j), (0.010694079867483223+0j)
(86.25357176198607+0j), (0.010694079867483254+0j)
(86.36966985559319+0j), (0.010708474196438385+0j)
(86.3696698555933+0j), (0.0107084741964384+0j)
(86.36966985559349+0j), (0.010708474196438422+0j)
(88.34254934410905+0j), (0.010953080076381858+0j)
(88.34254934410912+0j), (0.010953080076381867+0j)
(89.2577332838589+0j), (0.011066548422621825+0j)
(91.54043469420706+0j), (0.01134956732487949+0j)
(91.54043469420719+0j), (0.011349567324879507+0j)
(91.54043469420735+0j), (0.011349567324879526+0j)
(91.80966344345147+0j), (0.011382947435270597+0j)
(92.45407624819235+0j), (0.011462844439658362+0j)
(92.45407624819268+0j), (0.011462844439658403+0j)
(97.39035713187516+0j), (0.012074865263145003+0j)
(97.39035713187535+0j), (0.012074865263145025+0j)
