frequency [cm^-1], energy [eV]
(97.39035713187567+0j), (0.012074865263145067+0j)
(97.99309477818284+0j), (0.01214959520646306+0j)
(97.99309477818298+0j), (0.012149595206463077+0j)
(97.99309477818325+0j), (0.012149595206463111+0j)
(98.94299574475107+0j), (0.012267367915409094+0j)
(98.94299574475214+0j), (0.012267367915409225+0j)
(99.86445784458422+0j), (0.012381614654288114+0j)
(99.86445784458435+0j), (0.012381614654288131+0j)
(99.86445784458482+0j), (0.012381614654288189+0j)
(102.77893495103307+0j), (0.012742963759161377+0j)
(104.00648774385013+0j), (0.01289516090694052+0j)
(104.00648774385041+0j), (0.012895160906940555+0j)
(104.00648774385068+0j), (0.012895160906940588+0j)
(104.650399919854+0j), (0.012974995841276133+0j)
(104.65039991985405+0j), (0.01297499584127614+0j)
(104.95000853978284+0j), (0.013012142575551056+0j)
(104.95000853978284+0j), (0.013012142575551056+0j)
(104.95000853978333+0j), (0.013012142575551116+0j)
(105.0421592664881+0j), (0.013023567809441102+0j)
(105.04215926648824+0j), (0.013023567809441122+0j)
(105.04215926648826+0j), (0.013023567809441123+0j)
(108.16431360290527+0j), (0.013410665608989498+0j)
(108.16431360290542+0j), (0.013410665608989517+0j)
(108.16431360290619+0j), (0.013410665608989613+0j)
(110.49108631981211+0j), (0.013699148656819052+0j)
(110.4910863198124+0j), (0.013699148656819087+0j)
(110.77337089994296+0j), (0.013734147483923957+0j)
(110.77337089994327+0j), (0.013734147483923995+0j)
(110.77337089994404+0j), (0.01373414748392409+0j)
(112.6443905466011+0j), (0.013966124353127775+0j)
(112.64439054660139+0j), (0.01396612435312781+0j)
(112.64439054660168+0j), (0.013966124353127848+0j)
(112.98142729387774+0j), (0.014007911583731965+0j)
(113.15576903057462+0j), (0.014029527204029023+0j)
(113.15576903057496+0j), (0.014029527204029064+0j)
(113.15576903057513+0j), (0.014029527204029087+0j)
(113.25201088648042+0j), (0.014041459673289444+0j)
(113.25201088648053+0j), (0.014041459673289458+0j)
(113.25201088648073+0j), (0.014041459673289484+0j)
(116.931432464588+0j), (0.014497649804534135+0j)
(116.93143246458823+0j), (0.014497649804534163+0j)
(116.93143246458843+0j), (0.014497649804534187+0j)
(118.0319822362716+0j), (0.014634100584671125+0j)
(118.03198223627162+0j), (0.014634100584671126+0j)
(118.46161248655507+0j), (0.014687367946429738+0j)
(118.46161248655515+0j), (0.014687367946429749+0j)
(118.46161248655565+0j), (0.014687367946429811+0j)
(119.20006965490873+0j), (0.014778924965759692+0j)
(119.20006965490875+0j), (0.014778924965759693+0j)
(119.33256037807242+0j), (0.01479535172173361+0j)
(119.33256037807257+0j), (0.01479535172173363+0j)
(119.33256037807325+0j), (0.014795351721733714+0j)
(120.96081305339592+0j), (0.014997229322842148+0j)
(120.96081305339601+0j), (0.014997229322842158+0j)
(120.96081305339641+0j), (0.014997229322842207+0j)
(120.96105723549842+0j), (0.014997259597564145+0j)
(120.96105723549874+0j), (0.014997259597564185+0j)
(120.96105723549917+0j), (0.014997259597564237+0j)
(121.1574345297712+0j), (0.015021607278781433+0j)
(121.2394927496915+0j), (0.01503178120131803+0j)
(121.23949274969162+0j), (0.015031781201318045+0j)
(121.23949274969172+0j), (0.015031781201318057+0j)
(121.40306883287542+0j), (0.015052062050704836+0j)
(122.60113964194379+0j), (0.015200603898391242+0j)
(122.60113964194393+0j), (0.015200603898391259+0j)
(122.82509927302385+0j), (0.015228371353499899+0j)
(123.43232943198542+0j), (0.015303658297393642+0j)
(123.43232943198548+0j), (0.01530365829739365+0j)
(123.6016044155867+0j), (0.015324645720374737+0j)
(123.60160441558716+0j), (0.015324645720374792+0j)
(123.60160441558718+0j), (0.015324645720374796+0j)
(123.7041878035854+0j), (0.015337364439401958+0j)
(123.70418780358541+0j), (0.01533736443940196+0j)
(123.70418780358577+0j), (0.015337364439402005+0j)
(124.22496217924106+0j), (0.015401932232392241+0j)
(124.22496217924116+0j), (0.015401932232392253+0j)
(124.22496217924125+0j), (0.015401932232392264+0j)
(125.1982749594448+0j), (0.015522607636261468+0j)
(125.19827495944489+0j), (0.015522607636261478+0j)
(125.19827495944504+0j), (0.015522607636261497+0j)
(125.42185153194953+0j), (0.015550327598160106+0j)
(125.42185153194984+0j), (0.015550327598160144+0j)
(125.48153513207798+0j), (0.01555772742141976+0j)
(125.48153513207855+0j), (0.01555772742141983+0j)
(125.48153513207883+0j), (0.015557727421419866+0j)
(125.59428596298926+0j), (0.015571706742696072+0j)
(125.59432248772357+0j), (0.015571711271185942+0j)
(125.59432248772374+0j), (0.015571711271185963+0j)
(125.59432248772376+0j), (0.015571711271185965+0j)
(128.65822554672056+0j), (0.01595158683285608+0j)
(130.2435623560689+0j), (0.016148143544766118+0j)
(130.24356235606933+0j), (0.01614814354476617+0j)
(130.2435623560697+0j), (0.016148143544766215+0j)
(130.91634525790226+0j), (0.016231557992871952+0j)
(130.9163452579027+0j), (0.016231557992872004+0j)
(130.91634525790334+0j), (0.016231557992872084+0j)
(131.69230536131454+0j), (0.016327764783505155+0j)
(132.51409741908304+0j), (0.016429654012214325+0j)
(132.51409741908378+0j), (0.016429654012214415+0j)
(132.5140974190839+0j), (0.01642965401221443+0j)
(132.7781297537058+0j), (0.016462389849309228+0j)
(132.77812975370597+0j), (0.01646238984930925+0j)
(133.443385635105+0j), (0.016544871065827745+0j)
(133.70508773469197+0j), (0.01657731799060199+0j)
(133.70508773469197+0j), (0.01657731799060199+0j)
(133.705087734692+0j), (0.016577317990601994+0j)
(133.71587104110822+0j), (0.01657865495019329+0j)
(133.71587104110853+0j), (0.01657865495019333+0j)
(133.71587104110867+0j), (0.016578654950193346+0j)
(135.3568614500596+0j), (0.01678211182898233+0j)
(136.773320838095+0j), (0.016957730409352504+0j)
(137.17245060357305+0j), (0.017007216192982316+0j)
(137.28703346205526+0j), (0.01702142265672662+0j)
(137.28703346205563+0j), (0.017021422656726664+0j)
(137.28703346205612+0j), (0.017021422656726726+0j)
(137.36998424222716+0j), (0.01703170724262964+0j)
(137.36998424222753+0j), (0.017031707242629684+0j)
(137.3699842422276+0j), (0.01703170724262969+0j)
(137.99816511030704+0j), (0.0171095917433783+0j)
(137.99816511030753+0j), (0.01710959174337836+0j)
(137.9981651103078+0j), (0.017109591743378394+0j)
(140.19751835516857+0j), (0.01738227679023364+0j)
(140.1975183551687+0j), (0.01738227679023366+0j)
(140.19751835516885+0j), (0.017382276790233676+0j)
(141.30622090797635+0j), (0.01751973838639486+0j)
(141.30622090797684+0j), (0.01751973838639492+0j)
(141.30622090797718+0j), (0.017519738386394965+0j)
(141.56694231433337+0j), (0.0175520637207061+0j)
(142.55847825232337+0j), (0.01767499850816748+0j)
(143.57698711805656+0j), (0.017801277512426536+0j)
(143.57698711805656+0j), (0.017801277512426536+0j)
(143.5769871180566+0j), (0.01780127751242654+0j)
(143.93589641695843+0j), (0.01784577659378899+0j)
(143.93589641695849+0j), (0.017845776593788998+0j)
(145.4100091843117+0j), (0.018028543282121084+0j)
(145.41000918431172+0j), (0.018028543282121088+0j)
(145.41000918431192+0j), (0.018028543282121112+0j)
(146.8533404425115+0j), (0.018207493549746132+0j)
(146.8533404425116+0j), (0.018207493549746146+0j)
(146.85334044251164+0j), (0.01820749354974615+0j)
(147.3873294051404+0j), (0.018273699742696218+0j)
(147.3873294051407+0j), (0.018273699742696253+0j)
(147.38732940514086+0j), (0.018273699742696273+0j)
(147.4436083869222+0j), (0.01828067744708272+0j)
(147.4436083869231+0j), (0.01828067744708283+0j)
(147.44360838692313+0j), (0.018280677447082835+0j)
(147.98273818170756+0j), (0.018347521021981672+0j)
(147.9827381817079+0j), (0.018347521021981717+0j)
(148.6465482285271+0j), (0.018429822977860267+0j)
(148.64654822852782+0j), (0.018429822977860354+0j)
(150.30841210680072+0j), (0.0186358678369901+0j)
(150.30841210680077+0j), (0.018635867836990106+0j)
(150.42817561968246+0j), (0.01865071662001212+0j)
(152.3861479090982+0j), (0.018893474242839735+0j)
(152.38614790909833+0j), (0.01889347424283975+0j)
(152.38614790909838+0j), (0.018893474242839756+0j)
(153.87572073460268+0j), (0.019078157734073405+0j)
(153.8757207346028+0j), (0.01907815773407342+0j)
(153.8757207346035+0j), (0.01907815773407351+0j)
(154.5613156319159+0j), (0.019163160667155857+0j)
(154.561315631916+0j), (0.019163160667155867+0j)
(154.56131563191627+0j), (0.019163160667155902+0j)
(155.1185710592029+0j), (0.01923225153405283+0j)
(155.1185710592033+0j), (0.019232251534052877+0j)
(155.11857105920345+0j), (0.019232251534052894+0j)
(155.26786426580438+0j), (0.019250761532450048+0j)
(155.26786426580486+0j), (0.019250761532450106+0j)
(155.267864265805+0j), (0.019250761532450127+0j)
(156.28417797903782+0j), (0.019376768372488258+0j)
(157.8882920199885+0j), (0.01957565316438784+0j)
(157.88829201998934+0j), (0.01957565316438794+0j)
(157.8882920199894+0j), (0.019575653164387946+0j)
(158.22998614757063+0j), (0.019618017836551174+0j)
(158.2299861475707+0j), (0.019618017836551184+0j)
(158.2299861475711+0j), (0.019618017836551233+0j)
(159.10161574105922+0j), (0.019726086132126813+0j)
(159.83955186206597+0j), (0.019817578549819654+0j)
(159.83955186206614+0j), (0.019817578549819675+0j)
(159.83955186206634+0j), (0.0198175785498197+0j)
(159.85269855894498+0j), (0.01981920853248061+0j)
(159.85269855894552+0j), (0.019819208532480675+0j)
(159.85269855894575+0j), (0.019819208532480703+0j)
(160.06101299695948+0j), (0.01984503623088392+0j)
(160.0610129969605+0j), (0.019845036230884048+0j)
(160.55920625074714+0j), (0.019906804321603088+0j)
(162.64509169377598+0j), (0.020165421154117867+0j)
(162.64509169377644+0j), (0.020165421154117926+0j)
(163.26155120013803+0j), (0.020241852391241554+0j)
(164.30422276921223+0j), (0.02037112718888127+0j)
(164.30422276921252+0j), (0.020371127188881306+0j)
(165.8580002348372+0j), (0.020563771040889404+0j)
(165.85800023483753+0j), (0.020563771040889446+0j)
(165.85800023483776+0j), (0.020563771040889474+0j)
(165.9941660330743+0j), (0.02058065344809667+0j)
(165.99416603307446+0j), (0.020580653448096693+0j)
(165.9941660330747+0j), (0.020580653448096724+0j)
(166.01409017247082+0j), (0.020583123726528565+0j)
(166.01409017247133+0j), (0.020583123726528627+0j)
(166.01409017247164+0j), (0.020583123726528665+0j)
(167.88744945220208+0j), (0.020815390673261158+0j)
(167.88744945220208+0j), (0.020815390673261158+0j)
(167.88744945220245+0j), (0.020815390673261203+0j)
(168.54707797115861+0j), (0.020897174185763763+0j)
(168.5470779711593+0j), (0.02089717418576385+0j)
(170.32338467246151+0j), (0.02111740814645466+0j)
(170.32338467246254+0j), (0.02111740814645479+0j)
(170.32338467246262+0j), (0.0211174081464548+0j)
(170.71093156798293+0j), (0.021165457837249355+0j)
(170.7109315679837+0j), (0.02116545783724945+0j)
(170.71093156798509+0j), (0.021165457837249622+0j)
(172.27503912849008+0j), (0.021359382457780487+0j)
(172.27503912849042+0j), (0.02135938245778053+0j)
(172.27503912849085+0j), (0.02135938245778058+0j)
(173.33596532662992+0j), (0.021490920540953674+0j)
(173.33596532663032+0j), (0.021490920540953726+0j)
(173.3359653266305+0j), (0.021490920540953747+0j)
(175.31647985969093+0j), (0.021736473045767167+0j)
(175.31647985969113+0j), (0.02173647304576719+0j)
(175.3164798596919+0j), (0.021736473045767285+0j)
(176.62084038529832+0j), (0.021898193138650154+0j)
(176.6208403852988+0j), (0.021898193138650213+0j)
(176.6208403853+0j), (0.021898193138650362+0j)
(176.82654372842683+0j), (0.0219236971025497+0j)
(176.82654372842774+0j), (0.02192369710254981+0j)
(178.03627553303045+0j), (0.022073684729408388+0j)
(178.11786782171598+0j), (0.022083800883834798+0j)
(178.1178678217166+0j), (0.022083800883834874+0j)
(178.11786782171671+0j), (0.022083800883834888+0j)
(178.60348624709613+0j), (0.022144009894546464+0j)
(178.60348624709638+0j), (0.022144009894546495+0j)
(178.603486247097+0j), (0.02214400989454657+0j)
(179.805893944417+0j), (0.022293089447842054+0j)
(179.80589394441762+0j), (0.02229308944784213+0j)
(179.8058939444182+0j), (0.0222930894478422+0j)
(181.27493606406324+0j), (0.02247522745598791+0j)
(181.2749360640636+0j), (0.022475227455987956+0j)
(181.2749360640646+0j), (0.022475227455988078+0j)
(183.13066852380746+0j), (0.022705308955591755+0j)
(183.13066852380808+0j), (0.022705308955591835+0j)
(184.15704423018843+0j), (0.022832563323774573+0j)
(184.15704423018894+0j), (0.022832563323774636+0j)
(184.1570442301892+0j), (0.022832563323774667+0j)
(185.07638913121463+0j), (0.022946547563458784+0j)
(185.07967049366337+0j), (0.02294695440054836+0j)
(185.07967049366405+0j), (0.022946954400548444+0j)
(186.0039400635764+0j), (0.023061549221351948+0j)
(186.00394006357683+0j), (0.023061549221352003+0j)
(186.00394006357743+0j), (0.023061549221352076+0j)
(186.37386376507055+0j), (0.02310741391457961+0j)
(186.3738637650707+0j), (0.023107413914579628+0j)
(186.83422196360098+0j), (0.02316449105633926+0j)
(186.83422196360135+0j), (0.023164491056339307+0j)
(186.83422196360152+0j), (0.023164491056339328+0j)
(190.4408300234667+0j), (0.023611653461965126+0j)
(190.44083002346724+0j), (0.02361165346196519+0j)
(191.0382857078315+0j), (0.023685728525471017+0j)
(191.20723731310116+0j), (0.02370667585464921+0j)
(191.20723731310127+0j), (0.023706675854649223+0j)
(191.20723731310193+0j), (0.023706675854649303+0j)
(191.64022046110674+0j), (0.02376035892274085+0j)
(191.64022046110722+0j), (0.02376035892274091+0j)
(191.6402204611074+0j), (0.02376035892274093+0j)
(192.55063356544687+0j), (0.02387323576078163+0j)
(192.55063356544787+0j), (0.023873235760781757+0j)
(192.5506335654482+0j), (0.023873235760781798+0j)
(193.3690183812369+0j), (0.02397470254532877+0j)
(193.36901838123788+0j), (0.023974702545328887+0j)
(194.6741084698343+0j), (0.02413651309249352+0j)
(194.89763473475622+0j), (0.024164226817046882+0j)
(194.8976347347568+0j), (0.02416422681704695+0j)
(194.8976347347568+0j), (0.02416422681704695+0j)
(195.34054268043337+0j), (0.024219140403212155+0j)
(195.58535743899967+0j), (0.024249493564563792+0j)
(195.5853574390005+0j), (0.024249493564563893+0j)
(197.00953987954418+0j), (0.02442606968140076+0j)
(197.0095398795445+0j), (0.0244260696814008+0j)
(197.009539879545+0j), (0.02442606968140086+0j)
(197.4350193032634+0j), (0.024478822406259274+0j)
(198.3748571551102+0j), (0.024595347448003263+0j)
(198.37485715511093+0j), (0.024595347448003353+0j)
(198.3748571551116+0j), (0.024595347448003436+0j)
(198.90408254866531+0j), (0.024660963033664992+0j)
(198.90408254866585+0j), (0.024660963033665058+0j)
(198.90408254866637+0j), (0.02466096303366512+0j)
(199.72156105282+0j), (0.024762317449891425+0j)
(199.72156105282042+0j), (0.024762317449891477+0j)
(201.37151881743074+0j), (0.02496688613907466+0j)
(201.3715188174317+0j), (0.024966886139074777+0j)
(201.38709024536877+0j), (0.02496881675006987+0j)
(201.3870902453695+0j), (0.024968816750069962+0j)
(201.38709024536985+0j), (0.024968816750070004+0j)
(203.24917468863907+0j), (0.025199685795253075+0j)
(203.24917468863927+0j), (0.0251996857952531+0j)
(203.2491746886398+0j), (0.025199685795253165+0j)
(203.92661389044204+0j), (0.02528367755097348+0j)
(203.9266138904426+0j), (0.02528367755097355+0j)
(203.92661389044318+0j), (0.02528367755097362+0j)
(204.06684747707604+0j), (0.025301064299660316+0j)
(204.06684747707607+0j), (0.02530106429966032+0j)
(204.06684747707624+0j), (0.02530106429966034+0j)
(205.37129751169755+0j), (0.02546279549024658+0j)
(205.37129751169823+0j), (0.025462795490246663+0j)
(205.3712975116986+0j), (0.025462795490246708+0j)
(207.4590039017204+0j), (0.02572163809141291+0j)
(207.45900390172088+0j), (0.02572163809141297+0j)
(207.45900390172181+0j), (0.025721638091413087+0j)
(207.89042046038526+0j), (0.025775126927182493+0j)
(207.89042046038543+0j), (0.025775126927182514+0j)
(207.89042046038594+0j), (0.02577512692718258+0j)
(208.64998045982443+0j), (0.025869300364087376+0j)
(208.6499804598247+0j), (0.025869300364087407+0j)
(208.64998045982549+0j), (0.025869300364087505+0j)
(210.82439685808913+0j), (0.02613889363603181+0j)
(211.89637760423383+0j), (0.026271802308466964+0j)
(211.89637760423386+0j), (0.026271802308466968+0j)
(211.89637760423432+0j), (0.026271802308467023+0j)
(211.91523003281054+0j), (0.02627413971169302+0j)
(211.915230032811+0j), (0.026274139711693074+0j)
(214.73271290525457+0j), (0.026623463064311115+0j)
(214.73271290525489+0j), (0.026623463064311157+0j)
(216.36224045699626+0j), (0.026825498729949143+0j)
(217.36867227001036+0j), (0.026950280370519906+0j)
(217.3686722700109+0j), (0.026950280370519972+0j)
(217.36867227001116+0j), (0.026950280370520007+0j)
(217.5931251791787+0j), (0.026978108984316435+0j)
(217.59312517917942+0j), (0.02697810898431652+0j)
(217.5931251791799+0j), (0.02697810898431658+0j)
(218.4407869274441+0j), (0.027083205645838753+0j)
(218.44078692744475+0j), (0.027083205645838833+0j)
(218.44078692744526+0j), (0.027083205645838895+0j)
(219.6372437887119+0j), (0.027231547389502467+0j)
(219.6372437887125+0j), (0.02723154738950254+0j)
(219.63724378871257+0j), (0.027231547389502547+0j)
(219.7155044521855+0j), (0.02724125047505095+0j)
(220.34428053901462+0j), (0.02731920877351851+0j)
(220.3442805390148+0j), (0.02731920877351853+0j)
(220.3442805390155+0j), (0.027319208773518622+0j)
(223.8205152441924+0j), (0.027750206943401516+0j)
(223.82051524419296+0j), (0.027750206943401586+0j)
(223.82051524419325+0j), (0.02775020694340162+0j)
(224.51147449281027+0j), (0.027835874971275026+0j)
(224.5114744928111+0j), (0.02783587497127513+0j)
(224.51147449281163+0j), (0.027835874971275196+0j)
(225.50217138262673+0j), (0.027958705730022036+0j)
(225.5021713826275+0j), (0.027958705730022133+0j)
(229.14069871331728+0j), (0.028409825620822598+0j)
(229.1406987133177+0j), (0.02840982562082265+0j)
(229.14069871331841+0j), (0.028409825620822737+0j)
(229.24307365227392+0j), (0.02842251849546264+0j)
(229.24307365227395+0j), (0.028422518495462647+0j)
(229.25732538019702+0j), (0.0284242854845107+0j)
(229.25732538019776+0j), (0.02842428548451079+0j)
(229.25732538019795+0j), (0.028424285484510814+0j)
(230.03802556474724+0j), (0.028521079970299387+0j)
(230.59664881525845+0j), (0.02859034042566099+0j)
(230.5966488152592+0j), (0.02859034042566108+0j)
(230.5966488152594+0j), (0.02859034042566111+0j)
(238.73139093114068+0j), (0.0295989198979254+0j)
(238.73139093114145+0j), (0.029598919897925496+0j)
(238.73139093114168+0j), (0.029598919897925523+0j)
(239.59625017000104+0j), (0.02970614877651637+0j)
(239.5962501700016+0j), (0.02970614877651644+0j)
(239.59625017000198+0j), (0.029706148776516485+0j)
(241.5185109306963+0j), (0.029944478734117777+0j)
(241.51851093069644+0j), (0.029944478734117794+0j)
(241.9664680775821+0j), (0.0300000183414424+0j)
(241.96646807758268+0j), (0.030000018341442468+0j)
(241.966468077583+0j), (0.03000001834144251+0j)
(242.1276759558579+0j), (0.030020005570844402+0j)
(242.12767595585876+0j), (0.03002000557084451+0j)
(242.12767595585925+0j), (0.03002000557084457+0j)
(242.31342084183183+0j), (0.030043035001452365+0j)
(242.52223610956764+0j), (0.030068924794826705+0j)
(242.52223610956844+0j), (0.030068924794826805+0j)
(242.52223610956918+0j), (0.030068924794826896+0j)
(242.69273500739803+0j), (0.03009006396383118+0j)
(242.6927350073986+0j), (0.030090063963831248+0j)
(245.8184332114569+0j), (0.03047760114696481+0j)
(246.41867999049794+0j), (0.03055202226210399+0j)
(246.4186799904983+0j), (0.030552022262104038+0j)
(246.41867999049865+0j), (0.03055202226210408+0j)
(247.29320258052417+0j), (0.030660449243533422+0j)
(248.9660271999552+0j), (0.030867853061358527+0j)
(248.96602719995607+0j), (0.030867853061358634+0j)
(248.96602719995673+0j), (0.030867853061358717+0j)
(249.0446871788249+0j), (0.030877605655705905+0j)
(250.26835696465474+0j), (0.03102932137198025+0j)
(250.26835696465585+0j), (0.03102932137198039+0j)
(250.2683569646561+0j), (0.03102932137198042+0j)
(251.6061799422124+0j), (0.03119519028011121+0j)
(251.6061799422128+0j), (0.031195190280111258+0j)
(253.16709367237627+0j), (0.03138871891615061+0j)
(253.1670936723774+0j), (0.03138871891615075+0j)
(253.1670936723779+0j), (0.03138871891615081+0j)
(254.3454754858548+0j), (0.03153481963952127+0j)
(254.34547548585485+0j), (0.031534819639521275+0j)
(254.34547548585525+0j), (0.03153481963952132+0j)
(255.02649926652188+0j), (0.03161925582637514+0j)
(255.02649926652236+0j), (0.0316192558263752+0j)
(255.0264992665226+0j), (0.03161925582637523+0j)
(255.67325694355827+0j), (0.031699443557872464+0j)
(256.4561921649967+0j), (0.031796515152915886+0j)
(256.456192164997+0j), (0.03179651515291592+0j)
(256.45619216499745+0j), (0.031796515152915976+0j)
(257.3531737470651+0j), (0.031907726694447996+0j)
(257.35317374706585+0j), (0.03190772669444809+0j)
(257.3531737470664+0j), (0.03190772669444816+0j)
(257.67675216321317+0j), (0.03194784530466892+0j)
(257.6767521632134+0j), (0.031947845304668945+0j)
(257.6767521632139+0j), (0.03194784530466901+0j)
(259.24917594664316+0j), (0.03214280100542451+0j)
(263.1590824746438+0j), (0.03262756762819364+0j)
(263.1590824746444+0j), (0.03262756762819371+0j)
(263.1590824746449+0j), (0.03262756762819377+0j)
(264.88057768747393+0j), (0.03284100583047814+0j)
(264.8805776874743+0j), (0.03284100583047818+0j)
(264.88057768747456+0j), (0.032841005830478213+0j)
(266.2400575687777+0j), (0.03300955985243815+0j)
(266.24005756877807+0j), (0.0330095598524382+0j)
(266.24005756877835+0j), (0.03300955985243823+0j)
(266.5346116384532+0j), (0.03304607990235671+0j)
(266.53461163845355+0j), (0.03304607990235676+0j)
(267.72675452648645+0j), (0.03319388678151135+0j)
(267.72675452648696+0j), (0.03319388678151141+0j)
(267.9028556839138+0j), (0.03321572054217556+0j)
(267.90285568391477+0j), (0.03321572054217568+0j)
(267.9028556839154+0j), (0.03321572054217575+0j)
(269.81684631757594+0j), (0.0334530251347144+0j)
(269.81684631757645+0j), (0.03345302513471446+0j)
(269.81684631757645+0j), (0.03345302513471446+0j)
(269.99375052297455+0j), (0.03347495846063679+0j)
(270.0469884414872+0j), (0.03348155912123464+0j)
(270.046988441488+0j), (0.03348155912123474+0j)
(270.04698844148805+0j), (0.033481559121234745+0j)
(272.269596670813+0j), (0.033757127418674246+0j)
(272.48861537540506+0j), (0.0337842822769779+0j)
(272.4886153754053+0j), (0.033784282276977926+0j)
(272.48861537540546+0j), (0.033784282276977946+0j)
(272.9711095330995+0j), (0.033844103927868095+0j)
(274.1848702175351+0j), (0.03399459107215916+0j)
(274.18487021753515+0j), (0.033994591072159165+0j)
(274.18487021753646+0j), (0.033994591072159325+0j)
(274.57512615286475+0j), (0.03404297664108019+0j)
(274.57512615286544+0j), (0.034042976641080275+0j)
(274.57512615286606+0j), (0.03404297664108035+0j)
(275.9296186146023+0j), (0.034210912301828204+0j)
(275.9296186146034+0j), (0.034210912301828336+0j)
(276.84729182105133+0j), (0.034324689277801974+0j)
(276.847291821052+0j), (0.03432468927780206+0j)
(276.8472918210521+0j), (0.03432468927780207+0j)
(277.20558453138733+0j), (0.034369111911925966+0j)
(277.2055845313886+0j), (0.03436911191192612+0j)
(277.821973543565+0j), (0.03444553440888477+0j)
(277.8219735435653+0j), (0.03444553440888482+0j)
(277.82197354356634+0j), (0.03444553440888495+0j)
(278.64984320177194+0j), (0.034548177164006405+0j)
(278.6498432017724+0j), (0.03454817716400646+0j)
(278.649843201773+0j), (0.03454817716400654+0j)
(278.7823441468516+0j), (0.03456460518733637+0j)
(278.7823441468519+0j), (0.03456460518733641+0j)
(278.78234414685267+0j), (0.034564605187336506+0j)
(279.7617495679099+0j), (0.03468603598239197+0j)
(279.76174956791+0j), (0.034686035982391984+0j)
(280.4642711089256+0j), (0.03477313755180849+0j)
