frequency [cm^-1], energy [eV]
2.3989064264763598j, 0.0002974264879157548j
1.9886840872262648j, 0.0002465654004297551j
1.192482884836937j, 0.00014784903338545992j
0.0003356162282090777j, 4.1611108687711935e-08j
(4.095270302603405e-05+0j), (5.077488015896248e-09+0j)
(0.00013093959001147994+0j), (1.6234439974987957e-08+0j)
(13.724455135472516+0j), (0.0017016155546745587+0j)
(23.97736803083197+0j), (0.002972814730980974+0j)
(30.72060186586408+0j), (0.003808869165873727+0j)
(35.100553985513066+0j), (0.004351914014063099+0j)
(35.375461194065856+0j), (0.0043859981636740035+0j)
(41.509536998169594+0j), (0.0051465266290145265+0j)
(50.87647586779256+0j), (0.006307879026825939+0j)
(55.32375273233077+0j), (0.00685927107947532+0j)
(56.95298869943434+0j), (0.007061270593226016+0j)
(58.27379385940078+0j), (0.007225029560901488+0j)
(63.18108522273558+0j), (0.007833456141974874+0j)
(63.39731221215252+0j), (0.007860264871713174+0j)
(63.94049967976587+0j), (0.007927611533921002+0j)
(66.74202785122272+0j), (0.008274956755742503+0j)
(66.87619225048213+0j), (0.008291591021103854+0j)
(67.38978506261388+0j), (0.008355268413704571+0j)
(68.30119992691118+0j), (0.008468269454149628+0j)
(70.69532065639622+0j), (0.008765102591264931+0j)
(71.77347014905529+0j), (0.008898776090785609+0j)
(74.017027307568+0j), (0.009176941724396773+0j)
(74.39160150045785+0j), (0.009223383005067629+0j)
(76.33286132676027+0j), (0.009464068546569622+0j)
(77.14421392314533+0j), (0.009564663447037915+0j)
(77.22851703544646+0j), (0.009575115700754588+0j)
(79.71943705402344+0j), (0.009883950420036501+0j)
(83.11027165605762+0j), (0.010304360326673673+0j)
(84.62287545661603+0j), (0.010491899294864663+0j)
(86.29522990736234+0j), (0.010699244819202754+0j)
(87.68562985071964+0j), (0.010871632440239918+0j)
(88.27591502098898+0j), (0.010944818473310764+0j)
(88.48205047196159+0j), (0.01097037601175455+0j)
(90.87914088503831+0j), (0.011267577342706489+0j)
(91.21835357763118+0j), (0.01130963435614429+0j)
(91.26841421089084+0j), (0.011315841083580145+0j)
(91.8698857287995+0j), (0.01139041404698485+0j)
(93.28211379775495+0j), (0.011565508010654969+0j)
(94.4447082344535+0j), (0.011709651348786567+0j)
(94.62041499433212+0j), (0.01173143621038724+0j)
(96.87947576791781+0j), (0.012011524047269968+0j)
(97.31697764101746+0j), (0.012065767365865654+0j)
(98.82320482028796+0j), (0.01225251573378416+0j)
(99.26626194565975+0j), (0.012307447815874142+0j)
(100.00989850436844+0j), (0.012399646997760265+0j)
(100.50992550282875+0j), (0.012461642443840902+0j)
(100.78824089924059+0j), (0.012496149154888087+0j)
(101.37493950092899+0j), (0.012568890510132016+0j)
(102.4021857636145+0j), (0.012696252813539538+0j)
(102.84920326370984+0j), (0.012751675919511008+0j)
(103.59154675893447+0j), (0.012843714781958877+0j)
(105.3053568126177+0j), (0.013056200145954686+0j)
(105.85770143822113+0j), (0.013124682151046346+0j)
