frequency [cm^-1], energy [eV]
(106.64877220106222+0j), (0.013222762424660962+0j)
(107.47914245734025+0j), (0.013325715214427441+0j)
(109.58669261224246+0j), (0.013587018128855667+0j)
(109.68620955156219+0j), (0.01359935665670457+0j)
(110.02039069057687+0j), (0.013640789837010323+0j)
(110.90709257999235+0j), (0.01375072685909938+0j)
(111.9665468295536+0j), (0.013882082443909443+0j)
(112.91991076631682+0j), (0.01400028450643571+0j)
(113.07435995516163+0j), (0.014019433765153159+0j)
(113.49505476786926+0j), (0.014071593273855548+0j)
(114.43760566531004+0j), (0.014188454690380006+0j)
(115.07109721756227+0j), (0.014266997632043402+0j)
(115.64806754544033+0j), (0.014338532835066906+0j)
(116.0825192536466+0j), (0.014392397981416357+0j)
(117.09916157555489+0j), (0.014518445563737378+0j)
(117.54847359728647+0j), (0.014574153154132324+0j)
(118.13394730998488+0j), (0.01464674264249793+0j)
(118.30476182093027+0j), (0.014667920942541155+0j)
(118.65412393948284+0j), (0.014711236324410605+0j)
(119.64518697778699+0j), (0.014834112479783989+0j)
(120.46105686808309+0j), (0.014935267453312246+0j)
(120.87029019312419+0j), (0.01498600591866533+0j)
(121.64247478185914+0j), (0.015081744605141507+0j)
(122.12785348069244+0j), (0.015141923893549666+0j)
(122.97375131795695+0j), (0.015246801857982264+0j)
(123.59805189057546+0j), (0.015324205263412487+0j)
(123.94981070309844+0j), (0.015367817797460262+0j)
(124.85792822424511+0j), (0.015480410019461247+0j)
(125.64483364060133+0j), (0.015577973855935059+0j)
(125.71177472104213+0j), (0.01558627349206636+0j)
(125.8416621091382+0j), (0.015602377475631366+0j)
(126.24228688820666+0j), (0.015652048617321283+0j)
(127.19842927960316+0j), (0.015770595164315258+0j)
(127.63425517249823+0j), (0.015824630687850425+0j)
(128.3697855565565+0j), (0.015915824832178564+0j)
(128.46766354778097+0j), (0.015927960156363302+0j)
(128.7442119248941+0j), (0.01596224778494095+0j)
(129.21482474750545+0j), (0.016020596338036878+0j)
(129.9897775631179+0j), (0.016116678240900673+0j)
(130.0152631650291+0j), (0.016119838052798798+0j)
(131.28414636682174+0j), (0.016277159518162842+0j)
(132.22831069870287+0j), (0.01639422097506144+0j)
(132.36465519619495+0j), (0.01641112553815241+0j)
(132.86377235352958+0j), (0.01647300817831132+0j)
(133.9583936538263+0j), (0.016608723921681622+0j)
(134.4014508683239+0j), (0.016663656014821792+0j)
(135.3103492271326+0j), (0.0167763450483536+0j)
(135.9842235243617+0j), (0.01685989481224162+0j)
(136.12795486920638+0j), (0.016877715227672892+0j)
(136.80102066274975+0j), (0.016961164749880343+0j)
(137.02833952499884+0j), (0.016989348696569363+0j)
(137.98379846491608+0j), (0.017107810506380224+0j)
(138.9701092377718+0j), (0.017230097455936167+0j)
(140.33367543444893+0j), (0.017399158116428056+0j)
(140.33410167007514+0j), (0.017399210962910073+0j)
(140.69296155979092+0j), (0.017443703918314245+0j)
(140.74328900234747+0j), (0.017449943725886635+0j)
(141.64575345845645+0j), (0.01756183505715609+0j)
(143.12812843394158+0j), (0.017745626128732133+0j)
(144.00107428898949+0j), (0.01785385761994077+0j)
(144.0430624451312+0j), (0.017859063487780154+0j)
(144.56384711764449+0j), (0.017923632557418065+0j)
(144.85900342785288+0j), (0.017960227275645738+0j)
(145.77439565337988+0j), (0.018073721446030613+0j)
(146.2132210330902+0j), (0.018128128858531174+0j)
(147.51918495719772+0j), (0.018290047747490306+0j)
(147.5818812178289+0j), (0.018297821093044418+0j)
(148.58547610683354+0j), (0.018422250999868793+0j)
(149.366184596645+0j), (0.01851904651537863+0j)
(149.82431601917145+0j), (0.018575847572102646+0j)
(150.65974091951426+0j), (0.01867942705785662+0j)
(150.69277449436237+0j), (0.0186835226991213+0j)
(151.41784820789312+0j), (0.01877342038154664+0j)
(151.95325592875946+0j), (0.018839802478098095+0j)
(152.80506146100535+0j), (0.01894541290335142+0j)
(153.11325851884627+0j), (0.018983624468207762+0j)
(153.83006364936347+0j), (0.019072496977004562+0j)
(155.1362004118037+0j), (0.019234437295185657+0j)
(155.3577337203546+0j), (0.019261903924642908+0j)
(156.2314365949851+0j), (0.019370229274316905+0j)
(156.6942210577328+0j), (0.019427607234498205+0j)
(158.13425496843558+0j), (0.0196061486831403+0j)
(158.2362487448086+0j), (0.019618794299643336+0j)
(160.96554063510683+0j), (0.01995718336412249+0j)
(161.1244907536282+0j), (0.019976890666993426+0j)
(161.1710270711987+0j), (0.019982660434977186+0j)
(161.68417726280586+0j), (0.020046282949627413+0j)
(161.79525299149606+0j), (0.02006005458469929+0j)
(162.39808968339423+0j), (0.020134796808105388+0j)
(162.7004546175082+0j), (0.020172285281782325+0j)
(163.90961362192704+0j), (0.020322201890469835+0j)
(164.79620717226018+0j), (0.02043212548022472+0j)
(165.12811792911978+0j), (0.02047327716902119+0j)
(165.6937635261839+0j), (0.020543408284383998+0j)
(167.27158976538962+0j), (0.02073903380428291+0j)
(168.2063577951958+0j), (0.02085493026821025+0j)
(168.73744423478962+0j), (0.02092077659417141+0j)
(168.9130556259101+0j), (0.020942549631553144+0j)
(169.67916238357887+0j), (0.021037534763022673+0j)
(170.34075494722265+0j), (0.021119561786029476+0j)
(171.44368606735353+0j), (0.021256307815742424+0j)
(173.24552262535292+0j), (0.021479707075225483+0j)
(174.04872710389253+0j), (0.02157929173784242+0j)
(174.84850294467924+0j), (0.021678451303559394+0j)
(176.6507380314408+0j), (0.02190189997431117+0j)
(177.12232678037978+0j), (0.021960369526849547+0j)
(177.6665355616928+0j), (0.02202784281581672+0j)
(178.01196035834454+0j), (0.0220706700319904+0j)
(178.53919553166048+0j), (0.022136038861793134+0j)
(179.38963687535465+0j), (0.022241480149223777+0j)
(180.73033044960462+0j), (0.02240770496598168+0j)
(180.95957885132142+0j), (0.022436128145072946+0j)
(181.56030449138376+0j), (0.022510608631411518+0j)
(181.7332084567328+0j), (0.022532045990781974+0j)
(182.4272368612216+0j), (0.022618094545482827+0j)
(182.55737159835738+0j), (0.02263422919642+0j)
(184.35419927220929+0j), (0.022857007433422182+0j)
(185.14063389140583+0j), (0.022954512898488016+0j)
(185.38716499133764+0j), (0.022985078859046316+0j)
(186.29240705490656+0j), (0.023097314569747375+0j)
(187.36480294869622+0j), (0.023230274713930087+0j)
(187.59583742625333+0j), (0.023258919338200904+0j)
(188.37482585323178+0j), (0.023355501593100916+0j)
(188.5662129908228+0j), (0.023379230573747137+0j)
(188.7175571398149+0j), (0.02339799485659056+0j)
(189.93016020235132+0j), (0.023548338474059568+0j)
(190.6540873943926+0j), (0.02363809400593824+0j)
(191.06648282427946+0j), (0.023689224522322708+0j)
(191.7735936247376+0j), (0.023776895087387843+0j)
(192.40505420056746+0j), (0.02385518622006958+0j)
(193.2180355247796+0j), (0.02395598305705029+0j)
(193.6746645391485+0j), (0.02401259783890473+0j)
(193.9245328650159+0j), (0.024043577562742183+0j)
(194.44218753543782+0j), (0.02410775856158295+0j)
(195.95986767617163+0j), (0.024295926915736295+0j)
(196.14201066414938+0j), (0.0243185097679121+0j)
(196.80392132402412+0j), (0.024400576229824795+0j)
(197.29394475905673+0j), (0.024461331392122747+0j)
(198.30345391320807+0j), (0.024586494574364525+0j)
(198.68106033300404+0j), (0.02463331180325466+0j)
(200.01574217977347+0j), (0.024798791260805923+0j)
(200.89807476991936+0j), (0.024908186558831855+0j)
(201.32294048071793+0j), (0.024960863192986467+0j)
(202.11593716775337+0j), (0.025059182250766567+0j)
(203.1684264037372+0j), (0.025189674283958376+0j)
(203.4521264997457+0j), (0.02522484861266328+0j)
(205.4641107481723+0j), (0.025474302864878662+0j)
(206.22819763952418+0j), (0.025569037564844042+0j)
(207.561790406606+0j), (0.025734381993724336+0j)
(207.6452796376148+0j), (0.025744733339022205+0j)
(207.879603447181+0j), (0.025773785788482138+0j)
(210.7090590016176+0j), (0.026124593564467766+0j)
(210.8818047776326+0j), (0.026146011310860605+0j)
(212.25706162177806+0j), (0.026316521426895896+0j)
(212.62915830832182+0j), (0.026362655535930885+0j)
(213.0909521172067+0j), (0.02641991067068811+0j)
(214.84231545898743+0j), (0.026637052048968282+0j)
(215.07559611496924+0j), (0.026665975163868295+0j)
(215.9580572807138+0j), (0.02677538640323663+0j)
(217.529309756772+0j), (0.026970196880387824+0j)
(219.53198147809854+0j), (0.027218496526404977+0j)
(221.57783943542393+0j), (0.027472150583231016+0j)
(221.62929914341993+0j), (0.027478530773825154+0j)
(222.29119728127768+0j), (0.027560595683205624+0j)
(223.98089104771964+0j), (0.027770091008683644+0j)
(224.56849228778535+0j), (0.027842944276822323+0j)
(224.80132505524443+0j), (0.027871811860623322+0j)
(226.61484828617057+0j), (0.02809666008286944+0j)
(227.2776136410449+0j), (0.028178832513455678+0j)
(228.11744860094853+0j), (0.028282958776904774+0j)
(228.39155475926404+0j), (0.028316943608944933+0j)
(229.76524805706885+0j), (0.028487259869942088+0j)
(229.8814439469709+0j), (0.028501666324092356+0j)
(230.93324763552124+0j), (0.02863207336023585+0j)
(233.24745450120056+0j), (0.028918998441086356+0j)
(233.63823858552786+0j), (0.028967449492136966+0j)
(234.15822943841388+0j), (0.02903192014068551+0j)
(235.07453682440593+0j), (0.029145527776506135+0j)
(235.30916116526177+0j), (0.029174617487096807+0j)
(235.97298794189658+0j), (0.02925692151720812+0j)
(238.23599546334995+0j), (0.029537498688457547+0j)
(238.51996356707897+0j), (0.02957270624588457+0j)
(239.4973014438512+0j), (0.029693880698121285+0j)
(241.39728292777954+0j), (0.029929448377474174+0j)
(241.97931404439012+0j), (0.03000161103832687+0j)
(243.3054012624515+0j), (0.030166024897735847+0j)
(243.92951380044275+0j), (0.030243404989843726+0j)
(245.05818903513332+0j), (0.03038334288293804+0j)
(245.30382666448247+0j), (0.03041379806726325+0j)
(246.11864083662596+0j), (0.030514822148423677+0j)
(247.96957950796946+0j), (0.030744309294020174+0j)
(249.36594243328952+0j), (0.03091743623059008+0j)
(249.71465661140735+0j), (0.030960671278084766+0j)
(250.6929210037873+0j), (0.03108196060361548+0j)
(251.4344234014643+0j), (0.031173895183258974+0j)
(251.8872226412143+0j), (0.03123003513358108+0j)
(252.62951595254117+0j), (0.031322067774018664+0j)
(252.69116506704106+0j), (0.03132971129000013+0j)
(253.00969593412802+0j), (0.03136920408390189+0j)
(256.3296911366773+0j), (0.03178083102444988+0j)
(256.4439767302361+0j), (0.03179500063204124+0j)
(257.3072366663715+0j), (0.03190203122236747+0j)
(260.07805433939546+0j), (0.03224556882768912+0j)
(260.63427850573646+0j), (0.032314531834525394+0j)
(260.7109120240706+0j), (0.03232403317978971+0j)
(262.15390556384057+0j), (0.0325029415756663+0j)
(262.2843531516413+0j), (0.03251911501514207+0j)
(264.79643557856195+0j), (0.03283057353863744+0j)
(265.0832536898555+0j), (0.03286613445196493+0j)
(266.23155887383865+0j), (0.033008506148567214+0j)
(267.08179081316035+0j), (0.033113921473164803+0j)
(267.2641329528754+0j), (0.03313652901700892+0j)
(267.8096188062221+0j), (0.0332041606427272+0j)
(268.60973856508974+0j), (0.033303362848851416+0j)
(268.624715597857+0j), (0.03330521976423845+0j)
(269.7636577809118+0j), (0.0334464305966854+0j)
(269.9512021948099+0j), (0.03346968314031874+0j)
(271.47359138829296+0j), (0.0336584353425977+0j)
(272.83376598767455+0j), (0.03382707549862101+0j)
(273.39937043839154+0j), (0.03389720151248699+0j)
(274.6646315276924+0j), (0.03405407389314086+0j)
(275.5361212880299+0j), (0.034162124851615495+0j)
(276.2781401318419+0j), (0.03425412346241853+0j)
(276.8074283974277+0j), (0.03431974684321853+0j)
(277.56068611224885+0j), (0.03441313889642328+0j)
(277.8442393887268+0j), (0.03444829502182652+0j)
(278.19363703552426+0j), (0.0344916148086369+0j)
(278.69163356339783+0j), (0.034553358508451495+0j)
(279.81730687975704+0j), (0.034692924211110844+0j)
(280.9866853038031+0j), (0.034837908656468866+0j)
(281.59818038977005+0j), (0.03491372438391433+0j)
(282.2000730208591+0j), (0.03498834955869872+0j)
(282.60931511683+0j), (0.03503908911150849+0j)
(282.8862236769904+0j), (0.03507342139709218+0j)
(283.16019253812783+0j), (0.03510738920645191+0j)
(283.279275284393+0j), (0.03512215358517135+0j)
(283.636235024316+0j), (0.03516641095202854+0j)
(284.98484199331006+0j), (0.035333616904682466+0j)
(285.25246054855484+0j), (0.03536679737646288+0j)
(285.853714318842+0j), (0.035441343342603494+0j)
(286.0112833493347+0j), (0.03546087941238366+0j)
(286.8224570179702+0j), (0.03556145212863853+0j)
(287.6572268323458+0j), (0.03566495039408465+0j)
(289.84479160320734+0j), (0.03593617385645256+0j)
(289.9058448476506+0j), (0.03594374349396331+0j)
(290.18472103951814+0j), (0.03597831973478497+0j)
(292.0977040761473+0j), (0.03621549940121438+0j)
(293.14640224302786+0j), (0.03634552140174615+0j)
(294.03777551480334+0j), (0.03645603760142784+0j)
(294.7917254894112+0j), (0.03654951548390664+0j)
(296.6633601452814+0j), (0.03678156860453401+0j)
(296.90109367442074+0j), (0.03681104380533856+0j)
(297.41620320164367+0j), (0.036874909246642544+0j)
(299.4903365130443+0j), (0.0371320690005497+0j)
(299.76207314697+0j), (0.037165760049010184+0j)
(300.78354680622135+0j), (0.03729240664081403+0j)
(301.01236988548254+0j), (0.037320777086642005+0j)
(303.1782191805011+0j), (0.037589308173166455+0j)
(304.9144920782317+0j), (0.03780457857485272+0j)
(305.7293493755767+0j), (0.03790560800285664+0j)
(307.7860086423133+0j), (0.03816060125136086+0j)
(308.3854310531398+0j), (0.038234920157868606+0j)
(308.9520347732693+0j), (0.03830517006535068+0j)
(309.8805937526633+0j), (0.03842029670514607+0j)
(309.95838778840294+0j), (0.03842994193622948+0j)
(312.7562708353345+0j), (0.0387768352202123+0j)
(314.9676598824123+0j), (0.03905101251634545+0j)
