       Step     Time          Energy         fmax
GPMin:    4 14:51:36       -4.363426        0.1246
GPMin:    5 14:51:44       -4.377192        0.1060
GPMin:    6 14:52:18       -4.398101        0.1118
GPMin:    7 14:52:38       -4.414072        0.0837
GPMin:    8 14:53:11       -4.426214        0.1591
GPMin:    9 14:53:21       -4.426976        0.1412
GPMin:   10 14:53:39       -4.429772        0.1167
GPMin:   11 14:54:00       -4.447670        0.0997
GPMin:   12 14:54:08       -4.450250        0.0746
GPMin:   13 14:54:45       -4.455118        0.0598
GPMin:   14 14:55:04       -4.456560        0.0479
GPMin:   15 14:56:01       -4.462241        0.0663
GPMin:   16 14:57:02       -4.495044        0.2341
GPMin:   17 14:57:11       -4.535726        0.2014
GPMin:   18 14:57:22       -4.567955        0.2103
GPMin:   19 14:57:31       -4.606629        0.2015
GPMin:   20 14:57:41       -4.650948        0.1828
GPMin:   21 14:57:52       -4.690782        0.1688
GPMin:   22 14:58:01       -4.725445        0.1560
GPMin:   23 14:58:10       -4.762279        0.1363
GPMin:   24 14:58:19       -4.785670        0.1203
GPMin:   25 14:58:29       -4.808712        0.1052
GPMin:   26 14:58:38       -4.826973        0.0914
GPMin:   27 14:58:46       -4.843057        0.0806
GPMin:   28 14:58:55       -4.855373        0.0741
GPMin:   29 14:59:03       -4.869270        0.0596
GPMin:   30 14:59:11       -4.877303        0.0438
GPMin:   31 14:59:19       -4.882451        0.0327
GPMin:   32 14:59:27       -4.886829        0.0263
GPMin:   33 14:59:34       -4.888724        0.0223
GPMin:   34 14:59:42       -4.889682        0.0127
       Step     Time          Energy         fmax
GPMin:    0 14:59:57       -3.178779        1.3256
GPMin:    1 15:00:08       -3.974380        0.6238
GPMin:    2 15:00:18       -4.263851        0.3204
GPMin:    3 15:00:28       -4.368417        0.1960
GPMin:    4 15:00:38       -4.399355        0.1965
GPMin:    5 15:00:49       -4.470798        0.1989
GPMin:    6 15:00:59       -4.483314        0.1577
GPMin:    7 15:01:07       -4.487756        0.1456
GPMin:    8 15:01:29       -4.516845        0.1330
GPMin:    9 15:01:39       -4.538889        0.0688
GPMin:   10 15:01:48       -4.544345        0.0711
GPMin:   11 15:01:59       -4.557641        0.0880
GPMin:   12 15:02:08       -4.570675        0.1010
GPMin:   13 15:02:17       -4.594132        0.1041
GPMin:   14 15:02:26       -4.616858        0.0917
GPMin:   15 15:02:34       -4.637330        0.0901
GPMin:   16 15:02:44       -4.654597        0.0849
GPMin:   17 15:02:53       -4.675808        0.0787
GPMin:   18 15:03:02       -4.692378        0.0734
GPMin:   19 15:03:10       -4.704822        0.0684
GPMin:   20 15:03:18       -4.717080        0.0661
