       Step     Time          Energy         fmax
GPMin:   17 16:45:13       -4.921749        0.0468
GPMin:   18 16:45:22       -4.927493        0.0380
GPMin:   19 16:45:30       -4.930077        0.0381
GPMin:   20 16:45:39       -4.931710        0.0261
GPMin:   21 16:45:48       -4.932615        0.0259
GPMin:   22 16:45:54       -4.933349        0.0147
       Step     Time          Energy         fmax
GPMin:    0 16:46:11       -4.368386        0.2609
GPMin:    1 16:46:22       -4.530334        0.2633
GPMin:    2 16:46:33       -4.647416        0.2405
GPMin:    3 16:46:44       -4.749822        0.1750
GPMin:    4 16:46:54       -4.809792        0.1292
GPMin:    5 16:47:04       -4.843990        0.1050
GPMin:    6 16:47:14       -4.872829        0.0929
GPMin:    7 16:47:22       -4.897551        0.0749
GPMin:    8 16:47:30       -4.914339        0.0560
GPMin:    9 16:47:38       -4.921846        0.0435
GPMin:   10 16:47:45       -4.925578        0.0329
GPMin:   11 16:47:53       -4.928877        0.0347
GPMin:   12 16:48:01       -4.931982        0.0187
       Step     Time          Energy         fmax
GPMin:    0 16:48:16       -4.187980        0.3644
GPMin:    1 16:48:27       -4.367015        0.2170
GPMin:    2 16:48:37       -4.436895        0.1088
GPMin:    3 16:48:45       -4.456323        0.0682
GPMin:    4 16:48:54       -4.466168        0.0702
GPMin:    5 16:49:03       -4.483022        0.0543
GPMin:    6 16:49:12       -4.495110        0.0515
GPMin:    7 16:49:21       -4.512275        0.0794
GPMin:    8 16:49:29       -4.536438        0.0918
GPMin:    9 16:49:38       -4.567825        0.1039
GPMin:   10 16:49:47       -4.611205        0.1042
GPMin:   11 16:49:56       -4.659675        0.1038
GPMin:   12 16:50:04       -4.701312        0.0776
GPMin:   13 16:50:12       -4.723872        0.0636
GPMin:   14 16:50:20       -4.737798        0.0853
GPMin:   15 16:50:29       -4.765111        0.0859
GPMin:   16 16:50:37       -4.796029        0.0807
GPMin:   17 16:50:46       -4.826508        0.0763
GPMin:   18 16:50:55       -4.856561        0.0663
GPMin:   19 16:51:03       -4.880890        0.0756
GPMin:   20 16:51:12       -4.896022        0.0757
GPMin:   21 16:51:19       -4.906589        0.0643
GPMin:   22 16:51:27       -4.916985        0.0497
GPMin:   23 16:51:35       -4.924964        0.0426
GPMin:   24 16:51:43       -4.928593        0.0394
GPMin:   25 16:51:49       -4.931821        0.0304
GPMin:   26 16:51:56       -4.933658        0.0140
       Step     Time          Energy         fmax
GPMin:    0 16:52:12       -4.339110        0.4317
GPMin:    1 16:52:22       -4.550211        0.3108
GPMin:    2 16:52:33       -4.670166        0.2513
GPMin:    3 16:52:43       -4.749611        0.1616
GPMin:    4 16:52:51       -4.796120        0.1163
GPMin:    5 16:53:00       -4.838437        0.1207
GPMin:    6 16:53:09       -4.867570        0.0787
GPMin:    7 16:53:18       -4.880452        0.0389
GPMin:    8 16:53:26       -4.884725        0.0296
GPMin:    9 16:53:33       -4.887024        0.0261
GPMin:   10 16:53:41       -4.888830        0.0142
       Step     Time          Energy         fmax
GPMin:    0 16:54:03       -3.708135        0.3913
GPMin:    1 16:54:17       -4.014388        0.3337
GPMin:    2 16:54:31       -4.187110        0.2305
GPMin:    3 16:54:41       -4.259137        0.1333
GPMin:    4 16:54:52       -4.277861        0.1276
GPMin:    5 16:55:02       -4.308225        0.1536
GPMin:    6 16:55:12       -4.369402        0.1364
GPMin:    7 16:55:22       -4.403330        0.0952
