      Step     Time          Energy         fmax
BFGS:    4 13:33:22       -4.263103        0.9498
BFGS:    5 13:33:22       -4.359753        0.5035
BFGS:    6 13:33:22       -4.388733        0.5226
BFGS:    7 13:33:22       -4.412905        0.5768
BFGS:    8 13:33:23       -4.459744        0.6474
BFGS:    9 13:33:23       -4.541126        0.8333
BFGS:   10 13:33:23       -4.606705        0.9730
BFGS:   11 13:33:23       -4.677755        0.8764
BFGS:   12 13:33:23       -4.753023        1.4139
BFGS:   13 13:33:23       -4.840035        1.0026
BFGS:   14 13:33:23       -4.902658        0.7935
BFGS:   15 13:33:23       -4.929559        2.5385
BFGS:   16 13:33:23       -5.082752        0.4634
BFGS:   17 13:33:24       -5.120881        0.4741
BFGS:   18 13:33:24       -5.158500        1.1410
BFGS:   19 13:33:24       -5.191169        0.6817
BFGS:   20 13:33:24       -5.274167        0.4959
BFGS:   21 13:33:24       -5.334833        0.9099
BFGS:   22 13:33:24       -5.373826        0.3473
BFGS:   23 13:33:24       -5.390650        0.3175
BFGS:   24 13:33:24       -5.402220        0.3271
BFGS:   25 13:33:24       -5.408353        0.2477
BFGS:   26 13:33:25       -5.419258        0.2221
BFGS:   27 13:33:25       -5.422097        0.2379
BFGS:   28 13:33:25       -5.432655        0.3252
BFGS:   29 13:33:25       -5.442054        0.3700
BFGS:   30 13:33:25       -5.459963        0.4579
BFGS:   31 13:33:25       -5.481481        0.6733
BFGS:   32 13:33:25       -5.503923        0.6170
BFGS:   33 13:33:25       -5.534185        0.5570
BFGS:   34 13:33:26       -5.545703        0.3999
BFGS:   35 13:33:26       -5.556091        0.3026
BFGS:   36 13:33:26       -5.569846        0.3165
BFGS:   37 13:33:26       -5.578897        0.2441
BFGS:   38 13:33:26       -5.585114        0.1981
BFGS:   39 13:33:26       -5.588689        0.1906
BFGS:   40 13:33:26       -5.592189        0.1749
BFGS:   41 13:33:26       -5.596061        0.1706
BFGS:   42 13:33:26       -5.599938        0.2511
BFGS:   43 13:33:27       -5.604267        0.2867
BFGS:   44 13:33:27       -5.611728        0.3078
BFGS:   45 13:33:27       -5.625606        0.3995
BFGS:   46 13:33:27       -5.633726        0.3497
BFGS:   47 13:33:27       -5.643408        0.2318
BFGS:   48 13:33:27       -5.648483        0.1691
BFGS:   49 13:33:27       -5.649849        0.1438
BFGS:   50 13:33:27       -5.651953        0.0648
