frequency [cm^-1], energy [eV]
(190.461927970984+0j), (0.02361426927405477+0j)
(190.46196040913904+0j), (0.023614273295873386+0j)
(192.0556697838268+0j), (0.02381186807357718+0j)
(192.9839390064215+0j), (0.02392695878810837+0j)
(193.2308251020007+0j), (0.023957568762517086+0j)
(193.71912150288995+0j), (0.024018109799872896+0j)
(193.71928627563878+0j), (0.024018130229089912+0j)
(194.07531721296155+0j), (0.024062272439102167+0j)
(197.94677953072335+0j), (0.024542272587320297+0j)
(200.99843483723097+0j), (0.024920629621228135+0j)
(201.53984276768244+0j), (0.024987755648949207+0j)
(201.53987837511175+0j), (0.024987760063707752+0j)
(201.60006606433038+0j), (0.02499522238604867+0j)
(205.11795416064254+0j), (0.025431384918200305+0j)
(210.59687873776798+0j), (0.026110684984490654+0j)
(210.59700354963053+0j), (0.026110700459189257+0j)
(211.03237209082997+0j), (0.026164679278341513+0j)
(211.03240799065918+0j), (0.026164683729353027+0j)
(211.9855111583422+0j), (0.02628285346063418+0j)
(211.98554225726318+0j), (0.026282857316408937+0j)
(215.18457179540738+0j), (0.026679486426143144+0j)
(215.86136220744652+0j), (0.0267633977421854+0j)
(215.86136617990434+0j), (0.026763398234707393+0j)
(217.9441881527985+0j), (0.027021635245336278+0j)
(221.45005934716383+0j), (0.027456307871544846+0j)
(225.01512425827565+0j), (0.02789831958321514+0j)
(225.01520447041005+0j), (0.027898329528252247+0j)
(227.50407351384794+0j), (0.028206909959027655+0j)
(228.10882975992615+0j), (0.028281890176818127+0j)
(229.4671013924612+0j), (0.028450294395024292+0j)
(229.46716549814548+0j), (0.028450302343116105+0j)
(231.0862648971211+0j), (0.028651045082603105+0j)
(233.24198757201256+0j), (0.02891832062825876+0j)
(233.2421222049655+0j), (0.028918337320617372+0j)
(233.6250264366269+0j), (0.028965811394459598+0j)
(234.68583270155054+0j), (0.029097334607809236+0j)
(237.5036071412914+0j), (0.02944669411016462+0j)
(242.18583157138494+0j), (0.030027215948159616+0j)
(242.74193758112796+0j), (0.03009616430544492+0j)
(242.7420731488225+0j), (0.030096181113696722+0j)
(243.48318943226423+0j), (0.030188067821276653+0j)
(248.4163332428422+0j), (0.030799699697272215+0j)
(249.8171675679826+0j), (0.030973381016760088+0j)
(250.82178846287462+0j), (0.031097938132100936+0j)
(250.82178938614618+0j), (0.03109793824657202+0j)
(250.90516749318877+0j), (0.031108275814254124+0j)
(257.3437393822419+0j), (0.03190655698229745+0j)
(257.3437711337494+0j), (0.03190656091898262+0j)
(258.72311418747205+0j), (0.03207757766043273+0j)
(261.2212647270331+0j), (0.032387308850055606+0j)
(261.5783646061186+0j), (0.03243158359195438+0j)
(263.16244507777384+0j), (0.03262798453784388+0j)
(263.1624669930442+0j), (0.03262798725499108+0j)
(264.16888158650085+0j), (0.032752766760608835+0j)
(264.1689309771875+0j), (0.03275277288427348+0j)
(266.1207822697824+0j), (0.032994771600223+0j)
(266.3244781323809+0j), (0.03302002666826024+0j)
(268.12634193156015+0j), (0.033243429305219126+0j)
(268.1263829422284+0j), (0.03324343438989391+0j)
(271.46696251054095+0j), (0.03365761346650998+0j)
(274.73344209039266+0j), (0.03406260531552965+0j)
(274.7334605064182+0j), (0.034062607598825796+0j)
(275.033314436713+0j), (0.034099784747709555+0j)
(276.10445123690914+0j), (0.03423258878418363+0j)
(279.16629960835235+0j), (0.034612209597066505+0j)
(279.1663095147828+0j), (0.03461221082530734+0j)
(279.3927434504977+0j), (0.03464028505509026+0j)
(279.39275597325394+0j), (0.03464028660771414+0j)
(280.17363417058004+0j), (0.03473710316427397+0j)
(283.79067081958124+0j), (0.035185558550153775+0j)
(285.12266012770334+0j), (0.03535070417546189+0j)
(286.7792603712905+0j), (0.035556096427069736+0j)
(287.2673968224875+0j), (0.03561661763319133+0j)
(287.43140027973647+0j), (0.035636951470208574+0j)
(287.4314567334333+0j), (0.03563695846957487+0j)
(288.3122233889973+0j), (0.03574615961645849+0j)
(294.38501855136946+0j), (0.03649909025061798+0j)
(294.38504216391965+0j), (0.03649909317820107+0j)
(295.06002020500745+0j), (0.036582779788885536+0j)
(295.96472181333064+0j), (0.036694948491676725+0j)
(295.96476552364055+0j), (0.03669495391106442+0j)
(299.50702697944865+0j), (0.037134138354631016+0j)
(300.8817477400643+0j), (0.03730458200478013+0j)
(302.25290754164587+0j), (0.037474584152281436+0j)
(304.2490758509164+0j), (0.037722077477974486+0j)
(305.7978212478527+0j), (0.03791409743298501+0j)
(305.79790495678225+0j), (0.03791410781156945+0j)
(312.63156332675845+0j), (0.03876137345985219+0j)
(315.14169763451577+0j), (0.03907259044735667+0j)
(315.92842297335653+0j), (0.03917013195706426+0j)
(315.92844509444024+0j), (0.03917013469972907+0j)
