frequency [cm^-1], energy [eV]
79.56705791824541j, 0.009865057815187104j
2.500874208606546j, 0.0003100688815434576j
2.5008742086052465j, 0.0003100688815432965j
2.5008742086043876j, 0.00031006888154319j
0.0004720420594980862j, 5.8525755884217305e-08j
0.0004720411321650721j, 5.8525640909577835e-08j
0.00047201310152159584j, 5.8522165552743925e-08j
(19.705831623088233+0j), (0.0024432117178173345+0j)
(19.70583162308843+0j), (0.0024432117178173588+0j)
(19.705831623088507+0j), (0.0024432117178173687+0j)
(73.97608617683376+0j), (0.009171865671162186+0j)
(73.97608617683386+0j), (0.009171865671162198+0j)
(129.31992972429464+0j), (0.016033627694226452+0j)
(129.31992972429467+0j), (0.016033627694226456+0j)
(154.74432686345537+0j), (0.019185851167812806+0j)
(154.74432686345546+0j), (0.019185851167812816+0j)
(154.7443268634558+0j), (0.01918585116781286+0j)
(160.77662515647896+0j), (0.019933760830129054+0j)
(160.77662515647967+0j), (0.01993376083012914+0j)
(160.7766251564799+0j), (0.01993376083012917+0j)
(172.65958135977337+0j), (0.021407059617691168+0j)
(172.65958135977425+0j), (0.02140705961769128+0j)
(172.6595813597745+0j), (0.02140705961769131+0j)
(181.44717435564573+0j), (0.02249658228233069+0j)
(181.4471743556458+0j), (0.0224965822823307+0j)
(181.44717435564598+0j), (0.022496582282330726+0j)
(203.86439070306392+0j), (0.025275962859026956+0j)
(203.86439070306432+0j), (0.025275962859027005+0j)
(217.71133450751157+0j), (0.02699276507301455+0j)
(217.71133450751182+0j), (0.026992765073014582+0j)
(217.7113345075119+0j), (0.026992765073014593+0j)
(258.4897121429682+0j), (0.03204863949527424+0j)
(261.8560929372351+0j), (0.032466017516182104+0j)
(261.8560929372352+0j), (0.03246601751618212+0j)
(261.856092937236+0j), (0.032466017516182215+0j)
(263.7863764336619+0j), (0.032705342166234115+0j)
(332.8133468251654+0j), (0.04126359568893024+0j)
(332.81334682516786+0j), (0.04126359568893054+0j)
(332.81334682516797+0j), (0.04126359568893055+0j)
