frequency [cm^-1], energy [eV]
2.8316441871554443j, 0.0003510791318566696j
1.1956493265073462j, 0.00014824162211456813j
0.9863367281428654j, 0.00012229016760139145j
0.0008275515227484668j, 1.0260331135214327e-07j
0.0005994701697901985j, 7.43248278645257e-08j
(0.0006675398435613705+0j), (8.276439173407973e-08+0j)
(41.54803394052119+0j), (0.005151299641514204+0j)
(61.291734130131246+0j), (0.007599206463158301+0j)
(65.14399570733342+0j), (0.00807682602296873+0j)
(71.12815323065804+0j), (0.008818766990591805+0j)
(72.57755844871927+0j), (0.008998470333255291+0j)
(77.67713122139338+0j), (0.00963073677053986+0j)
(85.4089767667849+0j), (0.010589363434878214+0j)
(88.20845279788882+0j), (0.010936454223725115+0j)
(92.95291525808184+0j), (0.011524692593929528+0j)
(98.84588323598587+0j), (0.012255327498952688+0j)
(99.31985145326331+0j), (0.012314092067963238+0j)
(102.29814905719542+0j), (0.012683353905994402+0j)
(105.33617812687535+0j), (0.013060021501865623+0j)
(107.66850955026489+0j), (0.013349193741456995+0j)
(112.30948269164455+0j), (0.013924601071529234+0j)
(114.51341968469134+0j), (0.014197854430724393+0j)
(118.9633691177584+0j), (0.014749577839637809+0j)
(121.21445631744342+0j), (0.015028677079360082+0j)
(122.80145562211216+0j), (0.015225439914418092+0j)
(126.56492757637633+0j), (0.015692050964091424+0j)
(129.6510313570571+0j), (0.016074679064421143+0j)
(135.77638693174683+0j), (0.01683412635911666+0j)
(136.60475693699465+0j), (0.01693683114936457+0j)
(140.45013314691573+0j), (0.017413597032438874+0j)
(148.25028268775276+0j), (0.018380692312831504+0j)
(149.1747306030455+0j), (0.018495309245643857+0j)
(150.23788666022372+0j), (0.01862712379610023+0j)
(150.84481386020292+0j), (0.018702373177867698+0j)
(152.45634009849033+0j), (0.018902176965105013+0j)
(160.4750012193577+0j), (0.019896364228369528+0j)
(161.0951468811748+0j), (0.019973252490518786+0j)
(171.84322425488014+0j), (0.02130584423725213+0j)
(174.45619521480643+0j), (0.02162981134453871+0j)
(176.30480482686315+0j), (0.021859009723588844+0j)
(177.92780498155554+0j), (0.022060236095142623+0j)
(189.55413239053297+0j), (0.02350171696761254+0j)
(190.44387430986734+0j), (0.023612030905371152+0j)
(192.50024609511664+0j), (0.023866988510713904+0j)
(197.32463395732776+0j), (0.02446513636773912+0j)
(204.8286493470776+0j), (0.02539551569308754+0j)
(213.11878697930672+0j), (0.02642336175372522+0j)
(217.7990517978307+0j), (0.027003640630852557+0j)
(223.60463719733858+0j), (0.02772344147702684+0j)
(225.66706868004587+0j), (0.027979150389095386+0j)
(231.209240891045+0j), (0.028666292162508784+0j)
(235.71415018356637+0j), (0.029224829725485665+0j)
(242.1095487411276+0j), (0.030017758082675032+0j)
(246.75861480304326+0j), (0.03059416880700452+0j)
(253.00628992022834+0j), (0.03136878179200222+0j)
(255.69269982760127+0j), (0.031701854168245606+0j)
(265.47152280953003+0j), (0.03291427368714159+0j)
(266.40839214097446+0j), (0.03303043067926603+0j)
(268.46585125646686+0j), (0.03328552309637628+0j)
(277.8213465073737+0j), (0.03444545666630586+0j)
(280.278979595888+0j), (0.03475016433228016+0j)
(285.1167257981488+0j), (0.035349968412374984+0j)
(287.24767747452654+0j), (0.035614172745661206+0j)
(290.4512526174117+0j), (0.0360113654385509+0j)
(294.7439134600901+0j), (0.036543587547825364+0j)
(298.24245456101045+0j), (0.03697735135828132+0j)
(304.18821460713264+0j), (0.037714531645511404+0j)
(310.5451348285437+0j), (0.03850268929707605+0j)
(327.5581393549076+0j), (0.04061203300857872+0j)
