frequency [cm^-1], energy [eV]
1.5602439884869868j, 0.00019344559865512823j
0.0012619394593184465j, 1.5646055102645363e-07j
0.00028104947545992643j, 3.484569364358022e-08j
9.742856558213888e-05j, 1.207960250718471e-08j
(0.22469951447817912+0j), (2.7859188957939416e-05+0j)
(1.1234444346335288+0j), (0.00013928935654749852+0j)
(16.250534269054477+0j), (0.0020148094486115297+0j)
(21.545496348178222+0j), (0.002671301072236099+0j)
(27.495945880393837+0j), (0.0034090627816356785+0j)
(32.381884966459864+0j), (0.00401484201774931+0j)
(35.15963588633503+0j), (0.004359239236117165+0j)
(39.43467946387753+0j), (0.0048892770829134366+0j)
(45.825683410070454+0j), (0.005681660577739438+0j)
(48.58716628391837+0j), (0.006024040815477395+0j)
(52.761528456182795+0j), (0.006541595759047523+0j)
(54.086663225004806+0j), (0.006705891529801993+0j)
(58.1411973296895+0j), (0.007208589686587686+0j)
(58.28955454657207+0j), (0.007226983637050836+0j)
(58.85606694979882+0j), (0.007297222222680014+0j)
(59.82823741127872+0j), (0.0074177559970790945+0j)
(60.42313340254379+0j), (0.007491513699090434+0j)
(62.28949479884472+0j), (0.007722913018862443+0j)
(63.5409429522996+0j), (0.007878072813751762+0j)
(64.43930250780832+0j), (0.007989455202214904+0j)
(67.37621538214204+0j), (0.008353585987762344+0j)
(68.96769138128525+0j), (0.008550903862191761+0j)
(69.06756888303711+0j), (0.008563287094084424+0j)
(69.76935640584999+0j), (0.008650297656843192+0j)
(70.64653624906114+0j), (0.008759054095676034+0j)
(71.24520791001031+0j), (0.00883327992106279+0j)
(71.80346241962015+0j), (0.00890249465837969+0j)
(74.65505670366548+0j), (0.009256047286987232+0j)
(75.68242157500283+0j), (0.009383424295993257+0j)
(77.22729328993493+0j), (0.009574963975649525+0j)
(79.86737324019423+0j), (0.009902292169344771+0j)
(80.70650332262642+0j), (0.010006331039126307+0j)
(81.76297531690668+0j), (0.010137316871408926+0j)
(82.29408884733398+0j), (0.010203166556205328+0j)
(82.82766244091411+0j), (0.010269321249957277+0j)
(84.39828909344003+0j), (0.01046405413488011+0j)
(84.60093954533188+0j), (0.01048917958850994+0j)
(85.62411999716852+0j), (0.010616037795622597+0j)
(86.35444817558748+0j), (0.010706586948659853+0j)
(87.32259355036243+0j), (0.01082662167591437+0j)
(87.89399358852066+0j), (0.010897466251037694+0j)
(88.57420962972736+0j), (0.010981802290962867+0j)
(89.62255715430958+0j), (0.011111780817390704+0j)
(90.49195904653962+0j), (0.011219572913213764+0j)
(90.87299256685682+0j), (0.01126681504841142+0j)
(92.74188889761938+0j), (0.011498528659998106+0j)
(93.16058432210201+0j), (0.011550440276156133+0j)
(94.25493709534942+0j), (0.011686122726415745+0j)
(95.05938947855697+0j), (0.01178586210949136+0j)
(95.27219465530301+0j), (0.011812246588532018+0j)
(96.17026719376+0j), (0.011923593391416363+0j)
(97.32779456298388+0j), (0.01206710849325396+0j)
(97.70817435654195+0j), (0.012114269576664068+0j)
(98.16459871711989+0j), (0.012170858984682491+0j)
(98.52573342645589+0j), (0.012215633981771501+0j)
(99.04073382353556+0j), (0.012279485892662255+0j)
(100.62731818269546+0j), (0.012476197281034388+0j)
(100.83871045100646+0j), (0.012502406581756734+0j)
(101.87706093637118+0j), (0.01263114563330085+0j)
(102.83084841143611+0j), (0.012749400207883519+0j)
(103.27472536707347+0j), (0.012804433935970978+0j)
(103.83458287292419+0j), (0.012873847419490233+0j)
(104.75975291109748+0j), (0.012988553884128352+0j)
(105.59611983216541+0j), (0.013092250165565865+0j)
(106.14761479631063+0j), (0.01316062682606357+0j)
(106.4420351621199+0j), (0.013197130298815588+0j)
(106.78477703800995+0j), (0.013239624875211955+0j)
(108.50293610355988+0j), (0.013452649447953524+0j)
(108.74613858010692+0j), (0.013482802711813027+0j)
(109.84940905626597+0j), (0.01361959081631076+0j)
(110.05785112799352+0j), (0.013645434339277543+0j)
(111.23845592635551+0j), (0.013791810677644803+0j)
(111.3354028917885+0j), (0.01380383056934403+0j)
(111.9369973709091+0j), (0.013878418777995906+0j)
(112.92360049313524+0j), (0.014000741974253904+0j)
(113.49913514303657+0j), (0.014072099175895742+0j)
(114.32863476802426+0j), (0.014174944021140463+0j)
(114.65997778595806+0j), (0.014216025319281888+0j)
(115.16117284899627+0j), (0.014278165586911723+0j)
(115.79647894115105+0j), (0.014356933502848581+0j)
(115.86823926461835+0j), (0.014365830648958581+0j)
(116.57337555658972+0j), (0.01445325640617373+0j)
(116.97472763687274+0j), (0.014503017721720997+0j)
(117.2481833616397+0j), (0.014536921910279683+0j)
(117.27615595500299+0j), (0.014540390069816925+0j)
(117.73153194198487+0j), (0.01459684949607647+0j)
(118.48616909142623+0j), (0.01469041257737547+0j)
(118.74384853581148+0j), (0.014722360756473128+0j)
(119.10489228708221+0j), (0.014767124476199416+0j)
(119.67459019472099+0j), (0.014837758014036424+0j)
(120.30640719475984+0j), (0.014916093337687647+0j)
(120.80088653349186+0j), (0.014977400961629443+0j)
(121.57573660375267+0j), (0.015073470125693279+0j)
(121.86207888912334+0j), (0.015108972044125613+0j)
(121.93137466996902+0j), (0.015117563625896722+0j)
(122.38921421394585+0j), (0.015174328494293027+0j)
(122.55291060712996+0j), (0.015194624260218646+0j)
(123.02063735471704+0j), (0.015252614985619061+0j)
(123.38185452463821+0j), (0.01529740020651754+0j)
(123.82673560091207+0j), (0.015352558429696204+0j)
(124.16986238888867+0j), (0.01539510072910869+0j)
(124.56396658576675+0j), (0.015443963421649174+0j)
(124.82432104606887+0j), (0.015476243260448308+0j)
(125.27648594829945+0j), (0.015532304562942191+0j)
(125.48793496454044+0j), (0.01555852089951109+0j)
(126.17818256494431+0j), (0.01564410069425196+0j)
(126.97653463704967+0j), (0.0157430837351517+0j)
(127.38887351941696+0j), (0.01579420724053734+0j)
(127.89010913953683+0j), (0.015856352536604394+0j)
(128.12390556724557+0j), (0.01588533959904801+0j)
(128.58373998506252+0j), (0.015942351800276287+0j)
(128.85900197985652+0j), (0.015976479937774554+0j)
(129.14970381239954+0j), (0.016012522371164066+0j)
(129.89769326984367+0j), (0.016105261243706252+0j)
(130.04810288028713+0j), (0.01612390965853779+0j)
(130.49398426843422+0j), (0.016179191904581204+0j)
(130.7688872990482+0j), (0.016213275536193717+0j)
(131.2920980519146+0j), (0.016278145401457028+0j)
(131.70036221719715+0j), (0.016328763706315298+0j)
(132.27879550981984+0j), (0.016400480293848486+0j)
(132.75049593529107+0j), (0.01645896369251208+0j)
(133.15028954511834+0j), (0.016508531782350726+0j)
(133.59848536556004+0j), (0.016564100981424613+0j)
(134.0184789867457+0j), (0.016616173553458926+0j)
(134.26401839867765+0j), (0.016646616560376498+0j)
(134.74558468712263+0j), (0.016706323170142513+0j)
(134.90004725715377+0j), (0.016725474087915613+0j)
(136.20980905177305+0j), (0.01688786385280196+0j)
(136.40611281317314+0j), (0.016912202417105046+0j)
(136.6604864159706+0j), (0.016943740724086723+0j)
(137.31874483189+0j), (0.01702535436546392+0j)
(137.50458353516788+0j), (0.017048395427935018+0j)
(137.75193888593185+0j), (0.017079063582571195+0j)
(138.41419259800992+0j), (0.017161172577535983+0j)
(139.22101559206718+0j), (0.01726120587889514+0j)
(140.05574309862376+0j), (0.017364698898840264+0j)
(140.2533280337885+0j), (0.017389196308444283+0j)
(141.02518243230193+0j), (0.01748489405655086+0j)
(141.48304044889377+0j), (0.017541661215259508+0j)
(141.9443635542089+0j), (0.017598857990212425+0j)
(142.44947005645184+0j), (0.01766148321449272+0j)
(142.77658300898432+0j), (0.017702040051370427+0j)
(143.00303496190375+0j), (0.017730116515001993+0j)
(143.5793666293464+0j), (0.017801572534224003+0j)
(143.95026997476202+0j), (0.017847558687817+0j)
(144.15434064748192+0j), (0.017872860226386324+0j)
(145.37179762611407+0j), (0.018023805652746687+0j)
(145.61955142709476+0j), (0.018054523208913185+0j)
(145.98236905905446+0j), (0.018099506861812973+0j)
(146.98601788574686+0j), (0.018223943456058277+0j)
(147.34408771918345+0j), (0.018268338456968777+0j)
(147.64334185832735+0j), (0.018305441241228085+0j)
(148.43680488427293+0j), (0.018403818117663673+0j)
(149.06942455031913+0j), (0.018482252959215593+0j)
(149.41307375445655+0j), (0.018524860029976487+0j)
(150.56043750804588+0j), (0.01866711500408699+0j)
(151.16652454731954+0j), (0.0187422602192037+0j)
(151.85517933744558+0j), (0.018827642530640665+0j)
(152.61010384252654+0j), (0.01892124123949801+0j)
