cluster index, Natoms, total pot, pot/atom, 
0, 201, -620.7836433099634, -3.088475837363002
1, 23, -63.01082176320864, -2.7396009462264628
2, 90, -268.5755547650847, -2.984172830723163
3, 138, -419.7631828735259, -3.041762194735695
4, 108, -325.1382839020133, -3.0105396657593824
5, 13, -33.273575334927315, -2.5595057949944087
6, 38, -108.20394124787651, -2.8474721381020136
7, 52, -150.7597434778954, -2.899225836113373
8, 316, -989.0315518847713, -3.129846683179656
9, 71, -209.43406580193866, -2.9497755746751926
