# Photoabsorption spectrum from linear response TD-DFT
# GPAW version: 20.1.0
# Gauss folded, width=0.06 [eV]
# length form# om [eV]     osz          osz x       osz y       osz z
   0.99635 2.9869675e-05 3.5424249e-05 5.2265323e-05 1.9194517e-06
   1.01135 7.9857832e-05 9.6179313e-05 1.3833214e-04 5.0620406e-06
   1.02635 2.0065208e-04 2.4540791e-04 3.4400685e-04 1.2541486e-05
   1.04135 4.7381779e-04 5.8846194e-04 8.0380049e-04 2.9190941e-05
   1.05635 1.0515329e-03 1.3260750e-03 1.7646938e-03 6.3829833e-05
   1.07135 2.1932103e-03 2.8082422e-03 3.6402664e-03 1.3112234e-04
   1.08635 4.2991801e-03 5.5887503e-03 7.0557391e-03 2.5305095e-04
   1.10135 7.9202847e-03 1.0452142e-02 1.2849917e-02 4.5879484e-04
   1.11635 1.3713472e-02 1.8369746e-02 2.1989206e-02 7.8146477e-04
   1.13135 2.2315526e-02 3.0339262e-02 3.5356821e-02 1.2504947e-03
   1.14635 3.4128819e-02 4.7087716e-02 5.3418830e-02 1.8799113e-03
   1.16135 4.9055883e-02 6.8676437e-02 7.5836130e-02 2.6550815e-03
   1.17635 6.6270116e-02 9.4124383e-02 1.0116302e-01 3.5229474e-03
   1.19135 8.4139934e-02 1.2122372e-01 1.2680445e-01 4.3916385e-03
   1.20635 1.0040268e-01 1.4671041e-01 1.4935426e-01 5.1433532e-03
   1.22135 1.1260249e-01 1.6684727e-01 1.6530070e-01 5.6595010e-03
   1.23635 1.1868921e-01 1.7830319e-01 1.7191325e-01 5.8512016e-03
   1.25135 1.1758081e-01 1.7905161e-01 1.6800633e-01 5.6844762e-03
   1.26635 1.0947771e-01 1.6895614e-01 1.5428662e-01 5.1903683e-03
   1.28135 9.5803862e-02 1.4981124e-01 1.3314442e-01 4.4559255e-03
   1.29635 7.8798251e-02 1.2482125e-01 1.0797370e-01 3.5998054e-03
   1.31135 6.0917953e-02 9.7725382e-02 8.2286163e-02 2.7423145e-03
   1.32635 4.4271067e-02 7.1896411e-02 5.8935603e-02 1.9811880e-03
   1.34135 3.0255161e-02 4.9706349e-02 3.9677822e-02 1.3813117e-03
   1.35635 1.9468978e-02 3.2300892e-02 2.5124814e-02 9.8122819e-04
   1.37135 1.1854046e-02 1.9747288e-02 1.5000339e-02 8.1451243e-04
   1.38635 6.9585943e-03 1.1402956e-02 8.5314958e-03 9.4133118e-04
   1.40135 4.2128233e-03 6.3295620e-03 4.8249889e-03 1.4839191e-03
   1.41635 3.1426665e-03 3.6286131e-03 3.1421019e-03 2.6572846e-03
   1.43135 3.4961460e-03 2.6513948e-03 3.0549565e-03 4.7820866e-03
   1.44635 5.2877713e-03 3.0948688e-03 4.5063451e-03 8.2620999e-03
   1.46135 8.7750802e-03 5.0169065e-03 7.7991215e-03 1.3509213e-02
