# Photoabsorption spectrum from real-time propagation
# GPAW version: 20.1.0
# Total time = 44.9700 fs, Time steps = [30.0000] as
# Kick = [0, 0, 1e-05]
# Gaussian folding, Width = 0.0600 eV = 0.002205 Hartree <=> FWHM = 0.141289 eV
#    om (eV)                  S_x                  S_y                  S_z
    4.000000     0.0000000000e+00    -0.0000000000e+00     4.8967446608e-01
    4.050000     0.0000000000e+00    -0.0000000000e+00     4.2676899923e-01
    4.100000     0.0000000000e+00    -0.0000000000e+00     2.8623747737e-01
    4.150000     0.0000000000e+00    -0.0000000000e+00     3.3517896520e-01
    4.200000     0.0000000000e+00     0.0000000000e+00     5.9118485388e-01
    4.250000     0.0000000000e+00     0.0000000000e+00     6.5750643056e-01
    4.300000    -0.0000000000e+00     0.0000000000e+00     4.0739696176e-01
    4.350000    -0.0000000000e+00     0.0000000000e+00     2.1298185992e-01
    4.400000    -0.0000000000e+00     0.0000000000e+00     2.4103747268e-01
    4.450000    -0.0000000000e+00     0.0000000000e+00     2.9555550901e-01
    4.500000    -0.0000000000e+00     0.0000000000e+00     2.0704472398e-01
    4.550000     0.0000000000e+00     0.0000000000e+00     9.0504612725e-02
    4.600000     0.0000000000e+00     0.0000000000e+00     1.0108794264e-01
    4.650000     0.0000000000e+00    -0.0000000000e+00     3.1096634572e-01
    4.700000     0.0000000000e+00    -0.0000000000e+00     6.3533453993e-01
    4.750000     0.0000000000e+00    -0.0000000000e+00     7.1870502805e-01
    4.800000     0.0000000000e+00    -0.0000000000e+00     4.6108573919e-01
    4.850000     0.0000000000e+00    -0.0000000000e+00     2.3986095652e-01
    4.900000     0.0000000000e+00    -0.0000000000e+00     2.8622963327e-01
    4.950000     0.0000000000e+00    -0.0000000000e+00     5.1034019642e-01
    5.000000     0.0000000000e+00     0.0000000000e+00     6.4595302047e-01
    5.050000     0.0000000000e+00     0.0000000000e+00     5.0362756455e-01
    5.100000    -0.0000000000e+00     0.0000000000e+00     2.5558381333e-01
    5.150000    -0.0000000000e+00    -0.0000000000e+00     1.2879462990e-01
    5.200000    -0.0000000000e+00    -0.0000000000e+00     9.7848684617e-02
    5.250000    -0.0000000000e+00    -0.0000000000e+00     8.9777816909e-02
    5.300000    -0.0000000000e+00    -0.0000000000e+00     1.0774828209e-01
    5.350000    -0.0000000000e+00    -0.0000000000e+00     1.3514622503e-01
    5.400000    -0.0000000000e+00    -0.0000000000e+00     1.3824560346e-01
    5.450000    -0.0000000000e+00    -0.0000000000e+00     1.1821020181e-01
    5.500000     0.0000000000e+00    -0.0000000000e+00     1.0081705256e-01
    5.550000     0.0000000000e+00    -0.0000000000e+00     1.0950103044e-01
    5.600000     0.0000000000e+00     0.0000000000e+00     1.3508459413e-01
    5.650000    -0.0000000000e+00     0.0000000000e+00     1.3875049279e-01
    5.700000    -0.0000000000e+00    -0.0000000000e+00     1.0828733025e-01
    5.750000     0.0000000000e+00    -0.0000000000e+00     8.6770032366e-02
    5.800000     0.0000000000e+00    -0.0000000000e+00     1.2045614213e-01
    5.850000     0.0000000000e+00    -0.0000000000e+00     1.8054133146e-01
    5.900000     0.0000000000e+00    -0.0000000000e+00     1.9436046252e-01
    5.950000     0.0000000000e+00    -0.0000000000e+00     1.6648854637e-01
    6.000000     0.0000000000e+00    -0.0000000000e+00     1.5210401928e-01
    6.050000     0.0000000000e+00    -0.0000000000e+00     1.6467270721e-01
    6.100000     0.0000000000e+00    -0.0000000000e+00     1.5467154879e-01
    6.150000     0.0000000000e+00    -0.0000000000e+00     9.9908134649e-02
    6.200000     0.0000000000e+00    -0.0000000000e+00     5.0759302885e-02
    6.250000     0.0000000000e+00    -0.0000000000e+00     3.6339512693e-02
    6.300000    -0.0000000000e+00     0.0000000000e+00     4.7548426739e-02
    6.350000    -0.0000000000e+00     0.0000000000e+00     7.1297359839e-02
    6.400000     0.0000000000e+00     0.0000000000e+00     8.6088013090e-02
    6.450000     0.0000000000e+00     0.0000000000e+00     7.2211199509e-02
    6.500000    -0.0000000000e+00    -0.0000000000e+00     5.0023465334e-02
    6.550000    -0.0000000000e+00    -0.0000000000e+00     3.6730115467e-02
    6.600000     0.0000000000e+00    -0.0000000000e+00     3.3742246673e-02
    6.650000     0.0000000000e+00    -0.0000000000e+00     3.9774981582e-02
    6.700000     0.0000000000e+00    -0.0000000000e+00     4.9914651772e-02
    6.750000    -0.0000000000e+00     0.0000000000e+00     5.5311925019e-02
    6.800000    -0.0000000000e+00    -0.0000000000e+00     5.1122775674e-02
    6.850000    -0.0000000000e+00    -0.0000000000e+00     4.4574952703e-02
    6.900000    -0.0000000000e+00    -0.0000000000e+00     3.8503442724e-02
    6.950000     0.0000000000e+00    -0.0000000000e+00     3.5937825364e-02
    7.000000     0.0000000000e+00    -0.0000000000e+00     3.8136684879e-02
    7.050000     0.0000000000e+00    -0.0000000000e+00     4.2517803044e-02
    7.100000    -0.0000000000e+00     0.0000000000e+00     3.8243225039e-02
    7.150000    -0.0000000000e+00     0.0000000000e+00     2.8565304005e-02
    7.200000    -0.0000000000e+00     0.0000000000e+00     2.4308963159e-02
    7.250000     0.0000000000e+00     0.0000000000e+00     2.3074815740e-02
    7.300000     0.0000000000e+00    -0.0000000000e+00     1.9308773471e-02
    7.350000     0.0000000000e+00    -0.0000000000e+00     1.4660132093e-02
    7.400000     0.0000000000e+00    -0.0000000000e+00     1.9633570652e-02
    7.450000     0.0000000000e+00     0.0000000000e+00     3.6887538958e-02
    7.500000     0.0000000000e+00     0.0000000000e+00     5.4619417210e-02
    7.550000     0.0000000000e+00     0.0000000000e+00     5.5013024945e-02
    7.600000     0.0000000000e+00     0.0000000000e+00     4.0688952829e-02
    7.650000     0.0000000000e+00    -0.0000000000e+00     2.6006447008e-02
    7.700000     0.0000000000e+00    -0.0000000000e+00     1.9071767888e-02
    7.750000     0.0000000000e+00    -0.0000000000e+00     1.5752681072e-02
    7.800000    -0.0000000000e+00    -0.0000000000e+00     1.4000468617e-02
    7.850000    -0.0000000000e+00    -0.0000000000e+00     1.3951182231e-02
    7.900000    -0.0000000000e+00    -0.0000000000e+00     1.3926988035e-02
    7.950000     0.0000000000e+00    -0.0000000000e+00     1.4731137375e-02
    8.000000     0.0000000000e+00    -0.0000000000e+00     1.4620163759e-02
    8.050000     0.0000000000e+00    -0.0000000000e+00     1.4589343848e-02
    8.100000     0.0000000000e+00    -0.0000000000e+00     1.4143979618e-02
    8.150000     0.0000000000e+00     0.0000000000e+00     1.5431765502e-02
    8.200000     0.0000000000e+00     0.0000000000e+00     1.7623143586e-02
    8.250000     0.0000000000e+00    -0.0000000000e+00     2.1379354661e-02
    8.300000     0.0000000000e+00    -0.0000000000e+00     2.2575700885e-02
    8.350000     0.0000000000e+00    -0.0000000000e+00     1.9610220643e-02
    8.400000     0.0000000000e+00     0.0000000000e+00     1.8328498457e-02
    8.450000     0.0000000000e+00     0.0000000000e+00     2.1662524896e-02
    8.500000     0.0000000000e+00     0.0000000000e+00     2.7060818017e-02
    8.550000     0.0000000000e+00     0.0000000000e+00     2.6449714269e-02
    8.600000     0.0000000000e+00     0.0000000000e+00     1.9777974616e-02
    8.650000     0.0000000000e+00     0.0000000000e+00     1.2171035629e-02
    8.700000     0.0000000000e+00    -0.0000000000e+00     1.3678565444e-02
    8.750000    -0.0000000000e+00     0.0000000000e+00     2.2442734472e-02
    8.800000    -0.0000000000e+00     0.0000000000e+00     2.8365074009e-02
