# Kick = [    1.000000000000e-05,     0.000000000000e+00,     0.000000000000e+00]
#            time            norm                    dmx                    dmy                    dmz
        210.84100406       1.11022302e-15    -7.571874245960e-04     1.945757311451e-03     3.561905901243e-03
        212.08124526       1.05471187e-15    -7.832183430514e-04     1.945987657395e-03     3.559304338283e-03
        213.32148646       2.78943535e-15    -8.150978681307e-04     1.946218293157e-03     3.556656729169e-03
        214.56172766       1.31838984e-15    -8.523946643506e-04     1.946443705168e-03     3.553998188131e-03
        215.80196886      -5.55111512e-17    -8.945405299512e-04     1.946643231699e-03     3.551374630545e-03
        217.04221006       1.97064587e-15    -9.408702741283e-04     1.946840931631e-03     3.548818557503e-03
        218.28245126       6.93889390e-16    -9.906885881064e-04     1.947039391891e-03     3.546385499972e-03
        219.52269246       1.52655666e-15    -1.043418615059e-03     1.947213057743e-03     3.544127944172e-03
        220.76293366       5.55111512e-16    -1.098427075413e-03     1.947335453990e-03     3.542052629137e-03
        222.00317486       1.66533454e-16    -1.154819586214e-03     1.947414640879e-03     3.540171998794e-03
        223.24341606       4.02455846e-16    -1.211656504641e-03     1.947440224109e-03     3.538557960170e-03
        224.48365726      -3.74700271e-16    -1.268295619343e-03     1.947423422670e-03     3.537250695709e-03
        225.72389846       4.30211422e-16    -1.324142802701e-03     1.947377527369e-03     3.536212664885e-03
        226.96413966      -1.29063427e-15    -1.378298627846e-03     1.947263164284e-03     3.535439728648e-03
        228.20438086       2.77555756e-15    -1.429923475105e-03     1.947049846494e-03     3.534981151390e-03
        229.44462206       3.74700271e-16    -1.478375740096e-03     1.946797681480e-03     3.534883031830e-03
        230.68486326       4.71844785e-16    -1.522852261779e-03     1.946537584159e-03     3.535192511126e-03
        231.92510446      -4.57966998e-16    -1.562642476281e-03     1.946273489315e-03     3.535921297632e-03
        233.16534566      -9.85322934e-16    -1.597206032246e-03     1.946002260888e-03     3.537036591946e-03
        234.40558686       4.30211422e-16    -1.625998612226e-03     1.945707241234e-03     3.538482909981e-03
        235.64582806       1.58206781e-15    -1.648530847667e-03     1.945418007312e-03     3.540218847067e-03
        236.88606926       1.13797860e-15    -1.664530723259e-03     1.945108423957e-03     3.542237207396e-03
        238.12631046       2.08166817e-16    -1.673625733168e-03     1.944819488998e-03     3.544516009817e-03
        239.36655166       8.60422844e-16    -1.675620309289e-03     1.944552544286e-03     3.546973124936e-03
        240.60679286       1.34614542e-15    -1.670630026737e-03     1.944286171094e-03     3.549563593763e-03
        241.84703406       2.16493490e-15    -1.658735023388e-03     1.944029961718e-03     3.552312481930e-03
        243.08727526      -1.72084569e-15    -1.639986801246e-03     1.943779040529e-03     3.555188570336e-03
        244.32751646       2.63677968e-15    -1.614632854668e-03     1.943510841230e-03     3.558118485514e-03
        245.56775766       2.41473508e-15    -1.583007768319e-03     1.943219887856e-03     3.561049234301e-03
        246.80799886       2.44249065e-15    -1.545544884789e-03     1.942912214804e-03     3.563914718269e-03
        248.04824007      -1.59594560e-15    -1.502862718399e-03     1.942581570348e-03     3.566636940027e-03
