# Kick = [    0.000000000000e+00,     0.000000000000e+00,     1.000000000000e-05]
#            time            norm                    dmx                    dmy                    dmz
          0.00000000       4.16333634e-16    -1.205309640340e-03     1.944589406650e-03     3.560894497381e-03
          1.24024120       1.38777878e-16    -1.205334360350e-03     1.944684030192e-03     3.662766574362e-03
          2.48048240      -6.38378239e-16    -1.205397710410e-03     1.944810625139e-03     3.758223637491e-03
          3.72072360      -4.16333634e-17    -1.205520589628e-03     1.944982069694e-03     3.848635575564e-03
          4.96096480      -1.66533454e-15    -1.205707442067e-03     1.945230180725e-03     3.934278608410e-03
          6.20120600       1.24900090e-16    -1.205979267911e-03     1.945666577843e-03     4.013233309539e-03
          7.44144720       6.93889390e-17    -1.206337794994e-03     1.946403288386e-03     4.084911021933e-03
          8.68168840       1.55431223e-15    -1.206782974722e-03     1.947419065145e-03     4.148496535991e-03
          9.92192960       3.08086889e-15    -1.207302811332e-03     1.948653368908e-03     4.202067683223e-03
         11.16217080      -1.38777878e-17    -1.207883611839e-03     1.950119737700e-03     4.245182867808e-03
         12.40241200       4.57966998e-16    -1.208520496871e-03     1.951788885940e-03     4.277421440081e-03
         13.64265320       1.66533454e-16    -1.209197683041e-03     1.953627622446e-03     4.298450897587e-03
         14.88289440       1.27675648e-15    -1.209902096114e-03     1.955606134718e-03     4.308343027786e-03
         16.12313560       2.22044605e-15    -1.210628579337e-03     1.957708167753e-03     4.307319842097e-03
         17.36337680       2.80331314e-15    -1.211348689964e-03     1.959844467662e-03     4.295903567561e-03
         18.60361800       2.42861287e-15    -1.212045631076e-03     1.961948724208e-03     4.274250812915e-03
         19.84385921       2.77555756e-16    -1.212699391985e-03     1.963959261289e-03     4.243046442357e-03
         21.08410041       2.58126853e-15    -1.213296569338e-03     1.965818625346e-03     4.203029525199e-03
         22.32434161       1.66533454e-16    -1.213822311134e-03     1.967475720948e-03     4.155072515331e-03
         23.56458281       2.81719092e-15    -1.214267804199e-03     1.968882417468e-03     4.100132231261e-03
         24.80482401       2.63677968e-15    -1.214619725762e-03     1.969990984921e-03     4.039069873265e-03
         26.04506521       8.18789481e-16    -1.214867410091e-03     1.970758443321e-03     3.972841346781e-03
         27.28530641       1.24900090e-15    -1.214999427318e-03     1.971153876028e-03     3.902385199275e-03
         28.52554761       2.63677968e-16    -1.215014693329e-03     1.971153580868e-03     3.828819505619e-03
         29.76578881       2.38697950e-15    -1.214910088619e-03     1.970737176909e-03     3.753056467628e-03
         31.00603001       2.99760217e-15    -1.214689561392e-03     1.969879177473e-03     3.676152390883e-03
